date,cases,deaths,country,population,cumulative_cases,cases_7day_rollmean,cumulative_deaths,deaths_7day_rollmean
2019-12-31,0,0,France,66987244,0,NA,0,NA
2020-01-01,0,0,France,66987244,0,NA,0,NA
2020-01-02,0,0,France,66987244,0,NA,0,NA
2020-01-03,0,0,France,66987244,0,NA,0,NA
2020-01-04,0,0,France,66987244,0,NA,0,NA
2020-01-05,0,0,France,66987244,0,NA,0,NA
2020-01-06,0,0,France,66987244,0,0,0,0
2020-01-07,0,0,France,66987244,0,0,0,0
2020-01-08,0,0,France,66987244,0,0,0,0
2020-01-09,0,0,France,66987244,0,0,0,0
2020-01-10,0,0,France,66987244,0,0,0,0
2020-01-11,0,0,France,66987244,0,0,0,0
2020-01-12,0,0,France,66987244,0,0,0,0
2020-01-13,0,0,France,66987244,0,0,0,0
2020-01-14,0,0,France,66987244,0,0,0,0
2020-01-15,0,0,France,66987244,0,0,0,0
2020-01-16,0,0,France,66987244,0,0,0,0
2020-01-17,0,0,France,66987244,0,0,0,0
2020-01-18,0,0,France,66987244,0,0,0,0
2020-01-19,0,0,France,66987244,0,0,0,0
2020-01-20,0,0,France,66987244,0,0,0,0
2020-01-21,0,0,France,66987244,0,0,0,0
2020-01-22,0,0,France,66987244,0,0,0,0
2020-01-23,0,0,France,66987244,0,0,0,0
2020-01-24,0,0,France,66987244,0,0,0,0
2020-01-25,3,0,France,66987244,3,0.42857142857142855,0,0
2020-01-26,0,0,France,66987244,3,0.42857142857142855,0,0
2020-01-27,0,0,France,66987244,3,0.42857142857142855,0,0
2020-01-28,0,0,France,66987244,3,0.42857142857142855,0,0
2020-01-29,1,0,France,66987244,4,0.5714285714285714,0,0
2020-01-30,1,0,France,66987244,5,0.7142857142857143,0,0
2020-01-31,1,0,France,66987244,6,0.8571428571428571,0,0
2020-02-01,0,0,France,66987244,6,0.42857142857142855,0,0
2020-02-02,0,0,France,66987244,6,0.42857142857142855,0,0
2020-02-03,0,0,France,66987244,6,0.42857142857142855,0,0
2020-02-04,0,0,France,66987244,6,0.42857142857142855,0,0
2020-02-05,0,0,France,66987244,6,0.2857142857142857,0,0
2020-02-06,0,0,France,66987244,6,0.14285714285714285,0,0
2020-02-07,0,0,France,66987244,6,0,0,0
2020-02-08,5,0,France,66987244,11,0.7142857142857143,0,0
2020-02-09,0,0,France,66987244,11,0.7142857142857143,0,0
2020-02-10,0,0,France,66987244,11,0.7142857142857143,0,0
2020-02-11,0,0,France,66987244,11,0.7142857142857143,0,0
2020-02-12,0,0,France,66987244,11,0.7142857142857143,0,0
2020-02-13,0,0,France,66987244,11,0.7142857142857143,0,0
2020-02-14,0,0,France,66987244,11,0.7142857142857143,0,0
2020-02-15,0,1,France,66987244,11,0,1,0.14285714285714285
2020-02-16,0,0,France,66987244,11,0,1,0.14285714285714285
2020-02-17,1,0,France,66987244,12,0.14285714285714285,1,0.14285714285714285
2020-02-18,0,0,France,66987244,12,0.14285714285714285,1,0.14285714285714285
2020-02-19,0,0,France,66987244,12,0.14285714285714285,1,0.14285714285714285
2020-02-20,0,0,France,66987244,12,0.14285714285714285,1,0.14285714285714285
2020-02-21,0,0,France,66987244,12,0.14285714285714285,1,0.14285714285714285
2020-02-22,0,0,France,66987244,12,0.14285714285714285,1,0
2020-02-23,0,0,France,66987244,12,0.14285714285714285,1,0
2020-02-24,0,0,France,66987244,12,0,1,0
2020-02-25,0,0,France,66987244,12,0,1,0
2020-02-26,2,0,France,66987244,14,0.2857142857142857,1,0
2020-02-27,3,1,France,66987244,17,0.7142857142857143,2,0.14285714285714285
2020-02-28,21,0,France,66987244,38,3.7142857142857144,2,0.14285714285714285
2020-02-29,19,0,France,66987244,57,6.428571428571429,2,0.14285714285714285
2020-03-01,43,0,France,66987244,100,12.571428571428571,2,0.14285714285714285
