date,cases,deaths,country,population,cumulative_cases,cases_per100000,cases_7day_rollmean,cumulative_deaths,deaths_per100000,deaths_7day_rollmean
2019-12-31,0,0,Belgium,11455519,0,0,NA,0,0,NA
2020-01-01,0,0,Belgium,11455519,0,0,NA,0,0,NA
2020-01-02,0,0,Belgium,11455519,0,0,NA,0,0,NA
2020-01-03,0,0,Belgium,11455519,0,0,NA,0,0,NA
2020-01-04,0,0,Belgium,11455519,0,0,NA,0,0,NA
2020-01-05,0,0,Belgium,11455519,0,0,NA,0,0,NA
2020-01-06,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-07,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-08,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-09,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-10,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-11,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-12,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-13,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-14,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-15,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-16,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-17,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-18,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-19,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-20,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-21,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-22,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-23,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-24,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-25,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-26,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-27,0,0,Belgium,11455519,0,0,0,0,0,0
2020-01-28,0,0,Belgium,11455519,0,0,0,0,0,0
