date,year_week,cases_weekly,deaths_weekly,country,population,continent,notification_rate_per_100000_population_14_days,cum_cases,cum_cases_per100000,weekly_cases_per100000,cum_deaths,cum_deaths_per100000,weekly_deaths_per100000
2020-01-06,2020-01,0,0,Belgium,11455519,Western Europe,NA,0,0,0,0,0,0
2020-01-13,2020-02,0,0,Belgium,11455519,Western Europe,0,0,0,0,0,0,0
2020-01-20,2020-03,0,0,Belgium,11455519,Western Europe,0,0,0,0,0,0,0
2020-01-27,2020-04,0,0,Belgium,11455519,Western Europe,0,0,0,0,0,0,0
2020-02-03,2020-05,0,0,Belgium,11455519,Western Europe,0,0,0,0,0,0,0
2020-02-10,2020-06,0,0,Belgium,11455519,Western Europe,0,0,0,0,0,0,0
2020-02-17,2020-07,0,0,Belgium,11455519,Western Europe,0,0,0,0,0,0,0
2020-02-24,2020-08,343,0,Belgium,11455519,Western Europe,2.99,343,2.994189962061082,2.994189962061082,0,0,0
2020-03-02,2020-09,-324,0,Belgium,11455519,Western Europe,0.17,19,0.1658589191812261,-2.8283310428798556,0,0,0
2020-03-09,2020-10,388,0,Belgium,11455519,Western Europe,0.56,407,3.552872637197843,3.3870137180166173,0,0,0
2020-03-16,2020-11,1348,18,Belgium,11455519,Western Europe,15.15,1755,15.320126482265884,11.76725384506804,18,0.1571295023822142,0.1571295023822142
2020-03-23,2020-12,3673,198,Belgium,11455519,Western Europe,43.83,5428,47.38327438503659,32.06314790277071,216,1.8855540285865704,1.7284245262043563
2020-03-30,2020-13,8130,782,Belgium,11455519,Western Europe,103.03,13558,118.35343296100334,70.97015857596675,998,8.711957965413877,6.8264039368273055
2020-04-06,2020-14,9694,1584,Belgium,11455519,Western Europe,155.59,23252,202.9763994106247,84.62296644962136,2582,22.539354175048725,13.82739620963485
2020-04-13,2020-15,11175,1979,Belgium,11455519,Western Europe,182.17,34427,300.5276321395827,97.55123272895798,4561,39.81487002029328,17.275515845244552
2020-04-20,2020-16,7963,1667,Belgium,11455519,Western Europe,167.06,42390,370.0399781101145,69.51234597053175,6228,54.366807824246116,14.551937803952837
2020-04-27,2020-17,5703,1195,Belgium,11455519,Western Europe,119.3,48093,419.8238421148793,49.783864004764865,7423,64.79846089906533,10.43165307481922
2020-05-04,2020-18,3095,698,Belgium,11455519,Western Europe,76.8,51188,446.84138710782116,27.01754499294183,8121,70.89159382477564,6.093132925710306
2020-05-11,2020-19,3051,535,Belgium,11455519,Western Europe,53.65,54239,473.47483776160647,26.633450653785307,8656,75.56183181224701,4.670237987471366
2020-05-18,2020-20,2071,314,Belgium,11455519,Western Europe,44.71,56310,491.5534599523601,18.078622190753645,8970,78.30286868713675,2.7410368748897365
2020-05-25,2020-21,1510,230,Belgium,11455519,Western Europe,31.26,57820,504.7348793188681,13.181419366507969,9200,80.31063455090948,2.007765863772737
2020-06-01,2020-22,1144,160,Belgium,11455519,Western Europe,23.17,58964,514.7213321369377,9.986452818069614,9360,81.70734123875138,1.396706687841904
2020-06-08,2020-23,847,113,Belgium,11455519,Western Europe,17.38,59811,522.1151481657008,7.393816028763079,9473,82.69376533703974,0.9864240982883448
2020-06-15,2020-24,671,58,Belgium,11455519,Western Europe,13.25,60482,527.9725868378378,5.857438672136985,9531,83.20007151138242,0.5063061743426902
2020-06-22,2020-25,668,43,Belgium,11455519,Western Europe,11.69,61150,533.8038372595777,5.8312504217399495,9574,83.57543643373994,0.37536492235751173
2020-06-29,2020-26,607,39,Belgium,11455519,Western Europe,11.13,61757,539.102593256578,5.298755997000224,9613,83.9158836889014,0.3404472551614641
2020-07-06,2020-27,637,25,Belgium,11455519,Western Europe,10.86,62394,544.6632317575485,5.5606385009705805,9638,84.13411910887669,0.2182354199752975
2020-07-13,2020-28,704,13,Belgium,11455519,Western Europe,11.71,63098,550.8087411840529,6.145509426504378,9651,84.24760152726385,0.1134824183871547
2020-07-20,2020-29,1385,19,Belgium,11455519,Western Europe,18.24,64483,562.8989834506843,12.090242266631481,9670,84.41346044644507,0.1658589191812261
2020-07-27,2020-30,2489,15,Belgium,11455519,Western Europe,33.82,66972,584.626501863425,21.72751841274062,9685,84.54440169843025,0.1309412519851785
2020-08-03,2020-31,3759,20,Belgium,11455519,Western Europe,54.54,70731,617.4403796109107,32.81387774748573,9705,84.7189900344105,0.174588335980238
2020-08-10,2020-32,4340,30,Belgium,11455519,Western Europe,70.7,75071,655.3260485186223,37.88566890771165,9735,84.98087253838085,0.261882503970357
2020-08-17,2020-33,3751,75,Belgium,11455519,Western Europe,70.63,78822,688.070090931716,32.74404241309364,9810,85.63557879830674,0.6547062599258925
2020-08-24,2020-34,3453,42,Belgium,11455519,Western Europe,62.89,82275,718.2127671387041,30.142676206988092,9852,86.00221430386524,0.36663550555849983
2020-08-31,2020-35,3121,28,Belgium,11455519,Western Europe,57.39,85396,745.4572769684203,27.24450982971614,9880,86.24663797423757,0.2444236703723332
2020-09-07,2020-36,3655,17,Belgium,11455519,Western Europe,59.15,89051,777.3632953688087,31.906018400388493,9897,86.39503805982078,0.1484000855832023
2020-09-14,2020-37,6158,19,Belgium,11455519,Western Europe,85.66,95209,831.119044017124,53.75574864831528,9916,86.560896979002,0.1658589191812261
2020-09-21,2020-38,10108,27,Belgium,11455519,Western Europe,141.99,105317,919.3559890215363,88.23694500441229,9943,86.79659123257532,0.2356942535733213
2020-09-28,2020-39,11274,39,Belgium,11455519,Western Europe,186.65,116591,1017.7714340135965,98.41544499206016,9982,87.13703848773679,0.3404472551614641
2020-10-05,2020-40,18884,84,Belgium,11455519,Western Europe,263.26,135475,1182.6177408461372,164.84630683254073,10066,87.87030949885379,0.7332710111169997
2020-10-12,2020-41,38830,139,Belgium,11455519,Western Europe,503.81,174305,1521.5809951517692,338.96325430563206,10205,89.08369843391644,1.213388935062654
2020-10-19,2020-42,72196,236,Belgium,11455519,Western Europe,969.19,246501,2151.8099703732323,630.2289752214631,10441,91.14384079848325,2.060142364566808
2020-10-26,2020-43,105329,502,Belgium,11455519,Western Europe,1549.69,351830,3071.270712396357,919.4607420231245,10943,95.52600803158722,4.382167233103974
2020-11-02,2020-44,99544,1056,Belgium,11455519,Western Europe,1788.42,451374,3940.2317782371974,868.9610658408405,11999,104.7442721713438,9.218264139756567
2020-11-09,2020-45,53994,1411,Belgium,11455519,Western Europe,1340.3,505368,4411.567908883046,471.3361306458485,13410,117.06147927474959,12.31720710340579
2020-11-16,2020-46,33962,1328,Belgium,11455519,Western Europe,767.8,539330,4708.036362211088,296.46845332804213,14738,128.65414478383738,11.592665509087803
2020-11-23,2020-47,22306,1123,Belgium,11455519,Western Europe,491.19,561636,4902.754733329847,194.71837111875945,15861,138.45727984912776,9.803135065290364
2020-11-30,2020-48,16253,874,Belgium,11455519,Western Europe,336.6,577889,5044.633944564188,141.8792112343404,16735,146.08679013146414,7.629510282336401
2020-12-07,2020-49,15275,699,Belgium,11455519,Western Europe,275.22,593164,5177.975786169095,133.34184160490676,17434,152.18865247397346,6.101862342509318
2020-12-14,2020-50,16793,666,Belgium,11455519,Western Europe,279.93,609957,5324.568882474901,146.59309630580685,18100,158.0024440621154,5.8137915881419255
2020-12-21,2020-51,17683,654,Belgium,11455519,Western Europe,300.96,627640,5478.931159731829,154.36227725692743,18754,163.71148264866918,5.709038586553783
2020-12-28,2020-52,12584,534,Belgium,11455519,Western Europe,264.21,640224,5588.782140730595,109.85098099876575,19288,168.37299121934154,4.661508570672354
2021-01-04,2020-53,11383,455,Belgium,11455519,Western Europe,209.22,651607,5688.149092153747,99.36695142315246,19743,172.34487586289194,3.9718846435504145
2021-01-11,2021-01,14706,384,Belgium,11455519,Western Europe,227.74,666313,5816.523895600017,128.374803446269,20127,175.6969719137125,3.3520960508205695
2021-01-18,2021-02,13845,344,Belgium,11455519,Western Europe,249.23,680158,5937.382671182336,120.85877558231975,20471,178.6998912925726,3.002919378860094
2021-01-25,2021-03,15206,373,Belgium,11455519,Western Europe,253.6,695364,6070.122183028111,132.73951184577496,20844,181.95596375860404,3.256072466031439
2021-02-01,2021-04,16454,291,Belgium,11455519,Western Europe,276.37,711818,6213.756007039053,143.6338240109418,21135,184.4962240471165,2.5402602885124628
2020-01-06,2020-01,0,0,France,67012883,Western Europe,NA,0,0,0,0,0,0
2020-01-13,2020-02,0,0,France,67012883,Western Europe,0,0,0,0,0,0,0
2020-01-20,2020-03,0,0,France,67012883,Western Europe,0,0,0,0,0,0,0
2020-01-27,2020-04,3,0,France,67012883,Western Europe,0,3,0.004476751134554232,0.004476751134554232,0,0,0
2020-02-03,2020-05,3,0,France,67012883,Western Europe,0.01,6,0.008953502269108463,0.004476751134554232,0,0,0
2020-02-10,2020-06,5,0,France,67012883,Western Europe,0.01,11,0.016414754160032182,0.00746125189092372,0,0,0
2020-02-17,2020-07,1,1,France,67012883,Western Europe,0.01,12,0.017907004538216927,0.001492250378184744,1,0.001492250378184744,0.001492250378184744
2020-02-24,2020-08,0,0,France,67012883,Western Europe,0,12,0.017907004538216927,0,1,0.001492250378184744,0
2020-03-02,2020-09,118,1,France,67012883,Western Europe,0.18,130,0.19399254916401673,0.17608554462579978,2,0.002984500756369488,0.001492250378184744
2020-03-09,2020-10,996,17,France,67012883,Western Europe,1.66,1126,1.6802739258360218,1.486281376672005,19,0.028352757185510134,0.02536825642914065
2020-03-16,2020-11,4297,108,France,67012883,Western Europe,7.9,5423,8.092473800895867,6.412199875059845,127,0.18951579802946247,0.16116304084395236
2020-03-23,2020-12,10595,547,France,67012883,Western Europe,22.22,16018,23.90286655776323,15.810392756867362,674,1.0057767548965175,0.8162609568670549
2020-03-30,2020-13,24156,1932,France,67012883,Western Europe,51.86,40174,59.949666693193905,36.04680013543067,2606,3.888804485549443,2.8830277306529255
2020-04-06,2020-14,30304,5472,France,67012883,Western Europe,81.27,70478,105.17082215370439,45.22115546051048,8078,12.054398554976363,8.16559406942692
2020-04-13,2020-15,24925,6315,France,67012883,Western Europe,82.42,95403,142.36516282995913,37.19434067625475,14393,21.47795969321302,9.423561138236659
2020-04-20,2020-16,17203,5325,France,67012883,Western Europe,62.87,112606,168.0363460858713,25.67118325591215,19718,29.42419295704678,7.946233263833761
2020-04-27,2020-17,11969,3138,France,67012883,Western Europe,43.53,124575,185.89709086236448,17.8607447764932,22856,34.10687464379051,4.682681686743726
2020-05-04,2020-18,6712,2039,France,67012883,Western Europe,27.88,131287,195.9130754007405,10.015984538376001,24895,37.1495731649092,3.0426985211186928
2020-05-11,2020-19,7776,1485,France,67012883,Western Europe,21.62,139063,207.51681434150504,11.603738940764568,26380,39.36556497651355,2.215991811604345
2020-05-18,2020-20,3348,1331,France,67012883,Western Europe,16.6,142411,212.51286860766757,4.996054266162523,27711,41.35175022987744,1.9861852533638942
2020-05-25,2020-21,2510,656,France,67012883,Western Europe,8.74,144921,216.25841705691127,3.7455484492437074,28367,42.33066647796663,0.9789162480891921
2020-06-01,2020-22,6832,435,France,67012883,Western Europe,13.94,151753,226.45347164066945,10.195054583758171,28802,42.979795392476994,0.6491289145103636
2020-06-08,2020-23,2224,353,France,67012883,Western Europe,13.51,153977,229.77223648175232,3.3187648410828707,29155,43.506559775976214,0.5267643834992146
2020-06-15,2020-24,3243,252,France,67012883,Western Europe,8.16,157220,234.61160445820545,4.839367976453125,29407,43.88260687127877,0.3760470953025555
2020-06-22,2020-25,3157,233,France,67012883,Western Europe,9.55,160377,239.32263890213468,4.711034443929237,29640,44.23030120939581,0.34769433811704537
