date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_elderly,cum_vacs_medical_profession,cum_vacs_medical_condition,cum_vacs_care_homes,cum_vacs_elderly_first_dose,cum_vacs_medical_profession_first_dose,cum_vacs_medical_condition_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_elderly_second_dose,cum_vacs_medical_profession_second_dose,cum_vacs_medical_condition_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_elderly,new_vacs_medical_profession,new_vacs_medical_condition,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,23716,23716,23716,0,23716,0,0,23716,0,2.9e-4,0,8696,7838,1281,13120,8696,7838,1281,13120,0,0,0,0,23716,0,0,8696,7838,1281,13120,NA,NA,NA,NA
2020-12-28,42456,18740,18740,0,42456,0,0,42456,0,5.1e-4,0,16485,15230,1967,21952,16485,15230,1967,21952,0,0,0,0,18740,0,0,7789,7392,686,8832,NA,NA,NA,NA
2020-12-29,85104,42648,42648,0,85104,0,0,85104,0,0.00102,0,28915,36789,3043,38679,28915,36789,3043,38679,0,0,0,0,42648,0,0,12430,21559,1076,16727,NA,NA,NA,NA
2020-12-30,143105,58001,58001,0,143105,0,0,143105,0,0.00172,0,46327,68218,4644,59604,46327,68218,4644,59604,0,0,0,0,58001,0,0,17412,31429,1601,20925,NA,NA,NA,NA
2020-12-31,181721,38616,38616,0,181721,0,0,181721,0,0.00219,0,59422,86871,6462,74963,59422,86871,6462,74963,0,0,0,0,38616,0,0,13095,18653,1818,15359,NA,NA,NA,NA
2021-01-01,206470,24749,24749,0,206470,0,0,206470,0,0.00248,0,67167,96835,7537,87562,67167,96835,7537,87562,0,0,0,0,24749,0,0,7745,9964,1075,12599,NA,NA,NA,NA
2021-01-02,258650,52180,52180,0,258650,0,0,258650,0,0.00311,0,86545,120678,10018,108648,86545,120678,10018,108648,0,0,0,0,52180,0,0,19378,23843,2481,21086,258650,258650,0,0
2021-01-03,283636,24986,24986,0,283636,0,0,283636,0,0.00341,0,96462,131530,10948,119223,96462,131530,10948,119223,0,0,0,0,24986,0,0,9917,10852,930,10575,259920,259920,0,0
2021-01-04,332345,48709,48709,0,332345,0,0,332345,0,0.004,0,111810,156631,13607,135045,111810,156631,13607,135045,0,0,0,0,48709,0,0,15348,25101,2659,15822,289889,289889,0,0
2021-01-05,384821,52476,52476,0,384821,0,0,384821,0,0.00463,0,128069,184167,16042,153230,128069,184166,16042,153230,0,1,0,0,52476,0,0,16259,27536,2435,18185,299717,299717,0,0
2021-01-06,443987,59166,59166,0,443987,0,0,443987,0,0.00534,0,146014,215145,19454,174420,146014,215144,19454,174420,0,1,0,0,59166,0,0,17945,30978,3412,21190,300882,300882,0,0
2021-01-07,502447,58460,58460,0,502447,0,0,502447,0,0.00604,0,163822,245559,22458,192243,163822,245558,22458,192243,0,1,0,0,58460,0,0,17808,30414,3004,17823,320726,320726,0,0
2021-01-08,562891,60444,60444,0,562891,0,0,562891,0,0.00677,0,183410,277173,25750,212019,183406,277172,25750,212019,4,1,0,0,60444,0,0,19588,31614,3292,19776,356421,356421,0,0
2021-01-09,620213,57322,57322,0,620213,0,0,620213,0,0.00746,0,205805,301931,28063,234961,205797,301930,28063,234961,8,1,0,0,57322,0,0,22395,24758,2313,22942,361563,361563,0,0
2021-01-10,653492,33279,33279,0,653492,0,0,653492,0,0.00786,0,219030,316043,29332,246767,219020,316042,29332,246767,10,1,0,0,33279,0,0,13225,14112,1269,11806,369856,369856,0,0
2021-01-11,719158,65666,65666,0,719158,0,0,719158,0,0.00865,0,241991,347358,32277,267035,241981,347357,32277,267035,10,1,0,0,65666,0,0,22961,31315,2945,20268,386813,386813,0,0
2021-01-12,801243,82085,82085,0,801243,0,0,801243,0,0.00963,0,267506,389701,35429,291274,267496,389700,35429,291274,10,1,0,0,82085,0,0,25515,42343,3152,24239,416422,416422,0,0
2021-01-13,900327,99084,99084,0,899532,795,0,900327,0,0.01083,0,299925,441930,38904,320850,299915,441929,38904,320850,10,1,0,0,98289,795,0,32419,52229,3475,29576,456340,455545,795,0
2021-01-14,1000552,100225,100111,114,995109,5443,0,1000438,114,0.01203,0,326069,493310,41214,353711,326004,493305,41214,353711,65,5,0,0,95577,4648,0,26144,51380,2310,32861,498105,492662,5443,0
2021-01-15,1093377,92825,92397,428,1082483,10894,0,1092835,542,0.01314,1e-5,355805,540612,44831,381862,355627,540528,44822,381773,178,84,9,89,87374,5451,0,29736,47302,3617,28151,530486,519592,10894,0
2021-01-16,1150476,57099,56702,397,1137724,12752,0,1149537,939,0.01382,1e-5,376773,565698,46870,401731,376404,565507,46800,401440,369,191,70,291,55241,1858,0,20968,25086,2039,19869,530263,517511,12752,0
2021-01-17,1195126,44650,30896,13754,1180960,14166,0,1180433,14693,0.01419,1.8e-4,393547,585344,48593,419655,386798,580198,47928,411341,6749,5146,665,8314,43236,1414,0,16774,19646,1723,17924,541634,527468,14166,0
2021-01-18,1269584,74458,58086,16372,1253380,16204,0,1238519,31065,0.01489,3.7e-4,420807,621422,50700,440229,408288,609198,49501,424487,12519,12224,1199,15742,72420,2038,0,27260,36078,2107,20574,550426,534222,16204,0
2021-01-19,1364982,95398,68169,27229,1347257,17725,0,1306688,58294,0.01571,7e-4,453278,670611,53955,467343,431303,645363,51963,440973,21975,25248,1992,26370,93877,1521,0,32471,49189,3255,27114,563739,546014,17725,0
2021-01-20,1493922,128940,78285,50655,1474905,19017,0,1384973,108949,0.01665,0.00131,495306,733314,57852,509964,458479,682696,54962,463586,36827,50618,2890,46378,127648,1292,0,42028,62703,3897,42621,593595,575373,18222,0
2021-01-21,1590050,96128,60693,35435,1569934,20116,0,1445666,144384,0.01738,0.00174,532782,777377,62080,540990,482995,709574,58188,481181,49787,67803,3892,59809,95029,1099,0,37476,44063,4228,31026,589498,574825,14673,0
2021-01-22,1705658,115608,84251,31357,1684204,21454,0,1529917,175741,0.0184,0.00211,574086,829617,65657,583574,511734,747303,60873,508818,62352,82314,4784,74756,114270,1338,0,41304,52240,3577,42584,612281,601721,10560,0
2021-01-23,1798624,92966,48970,43996,1776787,21837,0,1578887,219737,0.01898,0.00264,608379,870600,68919,614860,530178,767284,62056,522535,78201,103316,6863,92325,92583,383,0,34293,40983,3262,31286,648148,639063,9085,0
2021-01-24,1864926,66302,38213,28089,1842845,22081,0,1617100,247826,0.01944,0.00298,630927,897900,69809,638929,543518,782462,62377,534330,87409,115438,7432,104599,66058,244,0,22548,27300,890,24069,669800,661885,7915,0
2021-01-25,1962880,97954,58192,39762,1939325,23555,0,1675292,287588,0.02014,0.00346,670534,941182,73227,664611,571188,804847,64024,547073,99346,136335,9203,117538,96480,1474,0,39607,43282,3418,25682,693296,685945,7351,0
2021-01-26,2065615,102735,53106,49629,2040472,25143,0,1728398,337217,0.02078,0.00405,708688,989397,76909,692316,595942,825531,65335,559051,112746,163866,11574,133265,101147,1588,0,38154,48215,3682,27705,700633,693215,7418,0
2021-01-27,2178958,113343,54054,59289,2151904,27054,0,1782452,396506,0.02143,0.00477,749156,1043959,81978,724205,619200,847862,67126,571238,129956,196097,14852,152967,111432,1911,0,40468,54562,5069,31889,685036,676999,8037,0
2021-01-28,2279553,100595,51582,49013,2246016,33537,0,1834034,445519,0.02205,0.00536,785759,1092838,86100,750576,640874,870719,68649,583101,144885,222119,17451,167475,94112,6483,0,36603,48879,4122,26371,689503,676082,13421,0
