date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-27,23716,0,0,151125,0,0,23716,0,0,151125,0,0
2020-12-28,18740,0,0,521625,0,0,42456,0,0,672750,0,0
2020-12-29,42648,0,0,0,0,0,85104,0,0,672750,0,0
2020-12-30,58001,0,0,653250,0,0,143105,0,0,1326000,0,0
2020-12-31,38740,0,0,0,0,0,181845,0,0,1326000,0,0
2021-01-01,24749,0,0,0,0,0,206594,0,0,1326000,0,0
2021-01-02,52180,0,0,0,0,0,258774,0,0,1326000,0,0
2021-01-03,24986,0,0,0,0,0,283760,0,0,1326000,0,0
2021-01-04,48709,0,0,0,0,0,332469,0,0,1326000,0,0
2021-01-05,52474,0,0,0,0,0,384943,0,0,1326000,0,0
2021-01-06,59166,0,0,0,0,0,444109,0,0,1326000,0,0
2021-01-07,58460,0,0,0,0,0,502569,0,0,1326000,0,0
2021-01-08,60447,0,0,687375,0,0,563016,0,0,2013375,0,0
2021-01-09,57321,0,0,0,0,0,620337,0,0,2013375,0,0
2021-01-10,33279,0,0,0,0,0,653616,0,0,2013375,0,0
2021-01-11,65719,0,0,0,0,0,719335,0,0,2013375,0,0
2021-01-12,82084,0,0,0,63600,0,801419,0,0,2013375,63600,0
2021-01-13,98289,795,0,0,0,0,899708,795,0,2013375,63600,0
2021-01-14,95577,4648,0,0,0,0,995285,5443,0,2013375,63600,0
2021-01-15,87375,5450,0,0,0,0,1082660,10893,0,2013375,63600,0
2021-01-16,55240,1858,0,0,0,0,1137900,12751,0,2013375,63600,0
2021-01-17,43236,1414,0,0,0,0,1181136,14165,0,2013375,63600,0
2021-01-18,72419,2038,0,0,0,0,1253555,16203,0,2013375,63600,0
2021-01-19,93874,1521,0,842400,0,0,1347429,17724,0,2855775,63600,0
2021-01-20,127645,1292,0,0,0,0,1475074,19016,0,2855775,63600,0
2021-01-21,95029,1099,0,0,0,0,1570103,20115,0,2855775,63600,0
2021-01-22,114266,1337,0,0,0,0,1684369,21452,0,2855775,63600,0
2021-01-23,92657,383,0,0,0,0,1777026,21835,0,2855775,63600,0
2021-01-24,66057,244,0,0,0,0,1843083,22079,0,2855775,63600,0
2021-01-25,96480,1474,0,0,0,0,1939563,23553,0,2855775,63600,0
2021-01-26,101149,1588,0,489060,0,0,2040712,25141,0,3344835,63600,0
2021-01-27,111618,1911,0,0,0,0,2152330,27052,0,3344835,63600,0
2021-01-28,94112,6483,0,0,0,0,2246442,33535,0,3344835,63600,0
2021-01-29,108411,1404,0,0,0,0,2354853,34939,0,3344835,63600,0
2021-01-30,87304,874,0,0,0,0,2442157,35813,0,3344835,63600,0
2021-01-31,62363,342,0,0,90000,0,2504520,36155,0,3344835,153600,0
2021-02-01,114378,1577,0,747630,0,0,2618898,37732,0,4092465,153600,0
2021-02-02,125650,2028,0,0,0,0,2744548,39760,0,4092465,153600,0
