date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,24296,24296,24159,137,24296,0,0,24159,137,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24296,0,0,10705,8657,1305,12604,NA,NA,NA,NA
2020-12-28,42679,18383,18383,0,42679,0,0,42542,137,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,18383,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,91666,48987,48398,589,91666,0,0,90940,726,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,48987,0,0,16368,24946,1116,19164,NA,NA,NA,NA
2020-12-30,153498,61832,61828,4,153498,0,0,152768,730,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,61832,0,0,20521,32631,1794,22698,NA,NA,NA,NA
2020-12-31,203170,49672,49555,117,203170,0,0,202323,847,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,49672,0,0,17321,23354,1851,20759,NA,NA,NA,NA
2021-01-01,222441,19271,19271,0,222440,0,1,221594,847,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,19270,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,275302,52861,52585,276,275301,0,1,274179,1123,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,52861,0,0,21566,24282,2520,20957,275302,275301,0,1
2021-01-03,299453,24151,24151,0,299452,0,1,298330,1123,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,24151,0,0,10270,10496,934,10021,275157,275156,0,1
2021-01-04,347802,48349,48349,0,347801,0,1,346679,1123,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,48349,0,0,16602,24686,2667,15812,305123,305122,0,1
2021-01-05,401261,53459,53435,24,401259,1,1,400114,1147,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,53458,1,0,18341,27652,2538,18565,309595,309593,1,1
2021-01-06,464259,62998,62997,1,464249,7,3,463111,1148,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,62990,6,2,21511,32965,3421,23156,310761,310751,7,3
2021-01-07,520463,56204,56200,4,520449,11,3,519311,1152,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,56200,4,0,19674,29338,3047,16421,317293,317279,11,3
2021-01-08,584034,63571,63253,318,583972,59,3,582564,1470,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,63523,48,0,22349,32447,3367,20986,361593,361532,59,2
2021-01-09,645260,61226,61179,47,645198,59,3,643743,1517,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,61226,0,0,25801,25923,2683,25106,369958,369897,59,2
2021-01-10,680399,35139,35132,7,680337,59,3,678875,1524,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,35139,0,0,15133,14556,1372,12990,380946,380885,59,2
2021-01-11,746944,66545,66494,51,746881,60,3,745369,1575,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,66544,1,0,25058,31382,3208,20459,399142,399080,60,2
2021-01-12,829876,82932,82882,50,829811,60,5,828251,1625,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,82930,0,2,28182,42162,2995,24957,428615,428552,59,4
2021-01-13,941204,111328,111151,177,940342,857,5,939402,1802,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,110531,797,0,39472,57506,3903,35608,476945,476093,850,2
2021-01-14,1024396,83192,82913,279,1018950,5441,5,1022315,2081,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,78608,4584,0,29636,42257,2284,24124,503933,498501,5430,2
2021-01-15,1115145,90749,90037,712,1104243,10878,24,1112352,2793,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,85293,5437,19,33922,44572,3959,27739,531111,520271,10819,21
2021-01-16,1172542,57397,56361,1036,1159868,12650,24,1168713,3829,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,55625,1772,0,24258,24954,2131,19596,527282,514670,12591,21
2021-01-17,1220040,47498,30834,16664,1206060,13955,25,1199547,20493,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,46192,1305,1,20466,20375,2025,19746,539641,525723,13896,22
2021-01-18,1301858,81818,66068,15750,1284309,17523,26,1265615,36243,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,78249,3568,1,29279,42881,2222,20356,554914,537428,17463,23
2021-01-19,1415446,113588,81043,32545,1394864,20506,76,1346658,68788,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,110555,2983,50,37037,62085,3608,30943,585570,565053,20446,71
2021-01-20,1547361,131915,80672,51243,1524060,23221,80,1427330,120031,0.017,0.001,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,129196,2715,4,48311,64071,4243,42235,606157,583718,22364,75
2021-01-21,1651682,104321,64369,39952,1625792,25810,80,1491699,159983,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,101732,2589,0,42074,48464,4449,34117,627286,606842,20369,75
2021-01-22,1753612,101930,67554,34376,1725676,27844,92,1559253,194359,0.019,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,99884,2034,12,43899,45386,3607,34447,638467,621433,16966,68
2021-01-23,1839239,85627,40692,44935,1810919,28227,93,1599945,239294,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,85243,383,1,37718,37100,3401,27274,666697,651051,15577,69
2021-01-24,1888739,49500,25602,23898,1860171,28471,97,1625547,263192,0.02,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,49252,244,4,23888,19078,917,15066,668699,654111,14516,72
2021-01-25,1984718,95979,58135,37844,1954426,30193,99,1683682,301036,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,94255,1722,2,40720,41565,3496,25135,682860,670117,12670,73
2021-01-26,2084159,99441,50979,48462,2052207,31847,105,1734661,349498,0.021,0.004,796572,997196,80614,684405,667753,831436,68195,545278,128819,165760,12419,139127,97781,1654,6,40197,45564,3787,26288,668713,657343,11341,29
2021-01-27,2195173,111014,51593,59421,2161287,33773,113,1786254,408919,0.021,0.005,839834,1049509,85786,715259,691463,852265,70042,556304,148371,197244,15744,158955,109080,1926,8,43262,52313,5172,30854,647812,637227,10552,33
2021-01-28,2286392,91219,45065,46154,2250870,35408,114,1831319,455073,0.022,0.005,877990,1090332,89974,739697,713483,869115,71590,567469,164507,221217,18384,172228,89583,1635,1,38156,40823,4188,24438,634710,625078,9598,34
2021-01-29,2394940,108548,51156,57392,2357945,36813,182,1882475,512465,0.023,0.006,920894,1138243,95507,769100,735839,888487,73819,578309,185055,249756,21688,190791,107075,1405,68,42904,47911,5533,29403,641328,632269,8969,90
2021-01-30,2481700,86760,35302,51458,2443830,37687,183,1917777,563923,0.023,0.007,957412,1174692,99468,796433,752473,901967,75224,586328,204939,272725,24244,210105,85885,874,1,36518,36449,3961,27333,642461,632911,9460,90
2021-01-31,2539499,57799,26731,31068,2501264,38052,183,1944508,594991,0.023,0.007,982865,1196922,101575,812430,766590,910861,76411,592657,216275,286061,25164,219773,57434,365,0,25453,22230,2107,15997,650760,641093,9581,86
2021-02-01,2661106,121607,59455,62152,2620603,40263,240,2003963,657143,0.024,0.008,1026174,1260299,105285,839830,787193,944041,78273,602425,238981,316258,27012,237405,119339,2211,57,43309,63377,3710,27400,676388,666177,10070,141
2021-02-02,2791679,130573,63570,67003,2748292,43133,254,2067533,724146,0.025,0.009,1069633,1330364,110479,870030,806216,982089,80866,611659,263417,348275,29613,258371,127689,2870,14,43459,70065,5194,30200,707520,696085,11286,149
2021-02-03,2949873,158194,63767,94427,2900517,49082,274,2131300,818573,0.026,0.01,1128983,1407775,116405,912544,829819,1014401,83062,623312,299164,393374,33343,289232,152225,5949,20,59350,77411,5926,42514,754700,739230,15309,161
2021-02-04,3081092,131219,61077,70142,3026277,54535,280,2192377,888715,0.026,0.011,1177986,1472437,120972,943857,851937,1046473,85311,632945,326049,425964,35661,310912,125760,5453,6,49003,64662,4567,31313,794700,775407,19127,166
2021-02-05,3224244,143152,66430,76722,3163542,60415,287,2258807,965437,0.027,0.012,1232524,1542580,126293,977786,877231,1080338,86905,644262,355293,462242,39388,333524,137265,5880,7,54538,70143,5321,33929,829304,805597,23602,105
2021-02-06,3323519,99275,46455,52820,3260350,62881,288,2305262,1018257,0.028,0.012,1272514,1588658,130853,1003590,896490,1101898,88782,653957,376024,486760,42071,349633,96808,2466,1,39990,46078,4560,25804,841819,816520,25194,105
2021-02-07,3377086,53567,28117,25450,3311566,65230,290,2333379,1043707,0.028,0.013,1298155,1609930,133571,1016823,910800,1112720,90015,659435,387355,497210,43556,357388,51216,2349,2,25641,21272,2718,13233,837587,810302,27178,107
2021-02-08,3487101,110015,53371,56644,3417704,69089,308,2386750,1100351,0.029,0.013,1350672,1655734,137545,1035599,942269,1129343,91902,666781,408403,526391,45643,368818,106138,3859,18,52517,45804,3974,18776,825995,797101,28826,68
2021-02-09,3619652,132551,59311,73240,3546265,72971,416,2446061,1173591,0.029,0.014,1411842,1714380,141993,1058512,978151,1147503,94639,674792,433691,566877,47354,383720,128561,3882,108,61170,58646,4448,22913,827973,797973,29838,162
2021-02-10,3769071,149419,73777,75642,3685068,76563,7440,2519838,1249233,0.03,0.015,1478760,1781046,146001,1087933,1017461,1175177,96286,685176,461299,605869,49715,402757,138803,3592,7024,66918,66666,4008,29421,819198,784551,27481,7166
2021-02-11,3911127,142056,73716,68340,3804746,83512,22869,2593554,1317573,0.031,0.016,1539776,1848576,151475,1113070,1052428,1208053,98713,694775,487348,640523,52762,418295,119678,6949,15429,61016,67530,5474,25137,830035,778469,28977,22589
2021-02-12,4067479,156352,80444,75908,3937366,93006,37107,2673998,1393481,0.032,0.017,1611268,1919253,157751,1138545,1094198,1240389,101429,704318,517070,678864,56322,434227,132620,9494,14238,71492,70677,6276,25475,843235,773824,32591,36820
2021-02-13,4175433,107954,61899,46055,4029576,96041,49816,2735897,1439536,0.033,0.017,1667599,1960972,162355,1156080,1129093,1262877,103231,711418,538506,698095,59124,444662,92210,3035,12709,56331,41719,4604,17535,851914,769226,33160,49528
2021-02-14,4240278,64845,39807,25038,4084710,98442,57126,2775704,1464574,0.033,0.018,1706122,1983696,163973,1164146,1153761,1276081,104081,714928,552361,707615,59892,449218,55134,2401,7310,38523,22724,1618,8066,863192,773144,33212,56836
2021-02-15,4366806,126528,70651,55877,4192100,102839,71867,2846355,1520451,0.034,0.018,1773591,2031897,168008,1183418,1194859,1300739,106358,721524,578732,731158,61650,461894,107390,4397,14741,67469,48201,4035,19272,879705,774396,33750,71559
2021-02-16,4501271,134465,81461,53004,4297859,108074,95338,2927816,1573455,0.035,0.019,1839625,2089928,170683,1200400,1236633,1336138,107879,728440,602992,753790,62804,471960,105759,5235,23471,66034,58031,2675,16982,881619,751594,35103,94922
2021-02-17,4651090,149819,94373,55446,4420451,115595,115044,3022189,1628901,0.036,0.02,1920033,2147919,175770,1221928,1292995,1368705,110873,736858,627038,779214,64897,485070,122592,7521,19706,80408,57991,5087,21528,882019,735383,39032,107604
2021-02-18,4794721,143631,91938,51693,4531922,123357,139442,3114127,1680594,0.037,0.02,1995907,2206102,179208,1240945,1345328,1403985,112659,744258,650579,802117,66549,496687,111471,7762,24398,75874,58183,3438,19017,883594,727176,39845,116573
