date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,dosen_dim_kumulativ,dosen_kbv_kumulativ,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum
2020-12-27,24505,24505,24494,11,24505,0,0,24494,11,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24505,0,24505,0,0,10705,8657,1305,12604,NA,NA,NA,NA
2020-12-28,42887,18382,18382,0,42887,0,0,42876,11,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42887,0,18382,0,0,7916,7131,686,8740,NA,NA,NA,NA
2020-12-29,92061,49174,48585,589,92061,0,0,91461,600,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92061,0,49174,0,0,16368,24946,1116,19164,NA,NA,NA,NA
2020-12-30,154473,62412,62408,4,154473,0,0,153869,604,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,154473,0,62412,0,0,20521,32631,1794,22698,NA,NA,NA,NA
2020-12-31,204539,50066,49926,140,204539,0,0,203795,744,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,204539,0,50066,0,0,17321,23354,1851,20759,NA,NA,NA,NA
2021-01-01,223807,19268,19268,0,223806,0,1,223063,744,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,223807,0,19267,0,1,8377,8730,1078,8336,NA,NA,NA,NA
2021-01-02,276675,52868,52592,276,276674,0,1,275655,1020,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,276675,0,52868,0,0,21566,24282,2520,20957,276675,276674,0,1
2021-01-03,300839,24164,24163,1,300838,0,1,299818,1021,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300839,0,24164,0,0,10270,10496,934,10021,276334,276333,0,1
2021-01-04,349233,48394,48394,0,349232,0,1,348212,1021,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,349233,0,48394,0,0,16602,24686,2667,15812,306346,306345,0,1
2021-01-05,403081,53848,53823,25,403079,1,1,402035,1046,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,403081,0,53847,1,0,18341,27652,2538,18565,311020,311018,1,1
2021-01-06,465905,62824,62823,1,465895,7,3,464858,1047,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,465905,0,62816,6,2,21511,32965,3421,23156,311432,311422,7,3
2021-01-07,521930,56025,56021,4,521916,11,3,520879,1051,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,521930,0,56021,4,0,19674,29338,3047,16421,317391,317377,11,3
2021-01-08,585573,63643,63325,318,585511,59,3,584204,1369,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,585573,0,63595,48,0,22349,32447,3367,20986,361766,361705,59,2
2021-01-09,646942,61369,61323,46,646880,59,3,645527,1415,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,646942,0,61369,0,0,25801,25923,2683,25106,370267,370206,59,2
2021-01-10,682215,35273,35265,8,682153,59,3,680792,1423,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,682215,0,35273,0,0,15133,14556,1372,12990,381376,381315,59,2
2021-01-11,749090,66875,66827,48,749027,60,3,747619,1471,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,749090,0,66874,1,0,25058,31382,3208,20459,399857,399795,60,2
2021-01-12,832025,82935,82887,48,831960,60,5,830506,1519,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,832025,0,82933,0,2,28182,42162,2995,24957,428944,428881,59,4
2021-01-13,944247,112222,112045,177,943385,857,5,942551,1696,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,944247,0,111425,797,0,39472,57506,3903,35608,478342,477490,850,2
2021-01-14,1027699,83452,83268,184,1022210,5484,5,1025819,1880,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,1027699,0,78825,4627,0,29636,42257,2284,24124,505769,500294,5473,2
2021-01-15,1119045,91346,90743,603,1108100,10921,24,1116562,2483,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,1119045,0,85890,5437,19,33922,44572,3959,27739,533472,522589,10862,21
2021-01-16,1176455,57410,56440,970,1163738,12693,24,1173002,3453,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,1176455,0,55638,1772,0,24258,24954,2131,19596,529513,516858,12634,21
2021-01-17,1224826,48371,31244,17127,1210803,13998,25,1204246,20580,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,1224826,0,47065,1305,1,20466,20375,2025,19746,542611,528650,13939,22
2021-01-18,1307073,82247,66503,15744,1289014,18033,26,1270749,36324,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,1307073,0,78211,4035,1,29279,42881,2222,20356,557983,539987,17973,23
2021-01-19,1421777,114704,81773,32931,1400198,21503,76,1352522,69255,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,1421777,0,111184,3470,50,37037,62085,3608,30943,589752,568238,21443,71
2021-01-20,1554005,132228,80797,51431,1529671,24254,80,1433319,120686,0.017,0.001,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,1554005,0,129473,2751,4,48311,64071,4243,42235,609758,586286,23397,75
2021-01-21,1659072,105067,64737,40330,1632026,26966,80,1498056,161016,0.018,0.002,610150,808503,65406,556195,549621,735602,60889,487988,60529,72901,4517,68207,1659072,0,102355,2712,0,42074,48464,4449,34117,631373,609816,21482,75
2021-01-22,1761218,102146,67443,34703,1732117,29009,92,1565499,195719,0.019,0.002,654049,853889,69013,590642,579902,764987,63599,506975,74147,88902,5414,83667,1761218,0,100091,2043,12,43899,45386,3607,34447,642173,624017,18088,68
2021-01-23,1846777,85559,40623,44936,1817292,29392,93,1606122,240655,0.019,0.003,691767,890989,72414,617916,599855,780966,64783,516268,91912,110023,7631,101648,1846777,0,85175,383,1,37718,37100,3401,27274,670322,653554,16699,69
2021-01-24,1896543,49766,25622,24144,1866810,29636,97,1631744,264799,0.02,0.003,715655,910067,73331,632982,614016,789814,65130,521524,101639,120253,8201,111458,1896543,0,49518,244,4,23888,19078,917,15066,671717,656007,15638,72
2021-01-25,1992771,96228,58189,38039,1961314,31358,99,1689933,302838,0.02,0.004,756375,951632,76827,658117,642321,811974,66847,534304,114054,139658,9980,123813,1992771,0,94504,1722,2,40720,41565,3496,25135,685698,672300,13325,73
2021-01-26,2092370,99599,50977,48622,2059253,33012,105,1740910,351460,0.021,0.004,796572,997196,80614,684405,667753,831436,68195,545278,128819,165760,12419,139127,2092370,0,97939,1654,6,40197,45564,3787,26288,670593,659055,11509,29
2021-01-27,2203578,111208,51586,59622,2168528,34937,113,1792496,411082,0.022,0.005,839834,1049509,85786,715259,691463,852265,70042,556304,148371,197244,15744,158955,2203578,0,109275,1925,8,43262,52313,5172,30854,649573,638857,10683,33
2021-01-28,2295167,91589,45059,46530,2258481,36572,114,1837555,457612,0.022,0.006,877990,1090332,89974,739697,713483,869115,71590,567469,164507,221217,18384,172228,2295167,0,89953,1635,1,38156,40823,4188,24438,636095,626455,9606,34
2021-01-29,2403823,108656,51076,57580,2365667,37977,179,1888631,515192,0.023,0.006,920894,1138243,95507,769100,735839,888487,73819,578309,185055,249756,21688,190791,2403823,0,107186,1405,65,42904,47911,5533,29403,642605,633550,8968,87
2021-01-30,2491621,87798,35443,52355,2452590,38851,180,1924074,567547,0.023,0.007,957412,1174692,99468,796433,752473,901967,75224,586328,204939,272725,24244,210105,2491621,0,86923,874,1,36518,36449,3961,27333,644844,635298,9459,87
2021-01-31,2549647,58026,26687,31339,2510240,39227,180,1950761,598886,0.023,0.007,982865,1196922,101575,812430,766590,910861,76411,592657,216275,286061,25164,219773,2549647,0,57650,376,0,25453,22230,2107,15997,653104,643430,9591,83
2021-02-01,2671470,121823,59489,62334,2629795,41438,237,2010250,661220,0.024,0.008,1026174,1260299,105285,839830,787193,944041,78273,602425,238981,316258,27012,237405,2671470,0,119555,2211,57,43309,63377,3710,27400,678699,668481,10080,138
2021-02-02,2802310,130840,63705,67135,2757751,44308,251,2073955,728355,0.025,0.009,1069633,1330364,110479,870030,806216,982089,80866,611659,263417,348275,29613,258371,2802310,0,127956,2870,14,43459,70065,5194,30200,709940,698498,11296,146
2021-02-03,2962139,159829,64467,95362,2911171,50697,271,2138422,823717,0.026,0.01,1128983,1407775,116405,912544,829819,1014401,83062,623312,299164,393374,33343,289232,2962139,0,153420,6389,20,59350,77411,5926,42514,758561,742643,15760,158
2021-02-04,3094252,132113,61524,70589,3037402,56573,277,2199946,894306,0.026,0.011,1177986,1472437,120972,943857,851937,1046473,85311,632945,326049,425964,35661,310912,3094252,0,126231,5876,6,49003,64662,4567,31313,799085,778921,20001,163
2021-02-05,3239384,145132,67427,77705,3176126,62974,284,2267373,972011,0.027,0.012,1232524,1542580,126293,977786,877231,1080338,86905,644262,355293,462242,39388,333524,3239384,0,138724,6401,7,54538,70143,5321,33929,835561,810459,24997,105
2021-02-06,3339254,99870,46995,52875,3273529,65440,285,2314368,1024886,0.028,0.012,1272514,1588658,130853,1003590,896490,1101898,88782,653957,376024,486760,42071,349633,3339254,0,97403,2466,1,39990,46078,4560,25804,847633,820939,26589,105
2021-02-07,3393510,54256,28185,26071,3325434,67789,287,2342553,1050957,0.028,0.013,1298155,1609930,133571,1016823,910800,1112720,90015,659435,387355,497210,43556,357388,3393510,0,51905,2349,2,25641,21272,2718,13233,843863,815194,28562,107
2021-02-08,3503827,110317,53434,56883,3431868,71648,311,2395987,1107840,0.029,0.013,1350672,1655734,137545,1035599,942269,1129343,91902,666781,408403,526391,45643,368818,3503827,0,106434,3859,24,52517,45804,3974,18776,832357,802073,30210,74
2021-02-09,3636705,132878,59354,73524,3560755,75529,421,2455341,1181364,0.03,0.014,1411842,1714380,141993,1058512,978151,1147503,94639,674792,433691,566877,47354,383720,3636705,0,128887,3881,110,61170,58646,4448,22913,834395,803004,31221,170
2021-02-10,3786714,150009,74253,75756,3699855,79398,7461,2529594,1257120,0.03,0.015,1478760,1781046,146001,1087933,1017461,1175177,96286,685176,461299,605869,49715,402757,3786714,0,139100,3869,7040,66918,66666,4008,29421,824575,788684,28701,7190
2021-02-11,3929744,143030,74243,68787,3820165,86693,22886,2603837,1325907,0.031,0.016,1539776,1848576,151475,1113070,1052428,1208053,98713,694775,487348,640523,52762,418295,3929744,0,120310,7295,15425,61016,67530,5474,25137,835492,782763,30120,22609
2021-02-12,4086600,156856,80896,75960,3952898,96567,37135,2684733,1401867,0.032,0.017,1611268,1919253,157751,1138545,1094198,1240389,101429,704318,517070,678864,56322,434227,4086600,0,132733,9874,14249,71492,70677,6276,25475,847216,776772,33593,36851
2021-02-13,4194707,108107,61996,46111,4045122,99614,49971,2746729,1447978,0.033,0.017,1667599,1960972,162355,1156080,1129093,1262877,103231,711418,538506,698095,59124,444662,4194707,0,92224,3047,12836,56331,41719,4604,17535,855453,771593,34174,49686
2021-02-14,4259599,64892,39847,25045,4100262,102016,57321,2786576,1473023,0.034,0.018,1706122,1983696,163973,1164146,1153761,1276081,104081,714928,552361,707615,59892,449218,4259599,0,55140,2402,7350,38523,22724,1618,8066,866089,774828,34227,57034
2021-02-15,4386712,127113,71063,56050,4207829,106829,72054,2857639,1529073,0.034,0.018,1773591,2031897,168008,1183418,1194859,1300739,106358,721524,578732,731158,61650,461894,4386712,0,107567,4813,14733,67469,48201,4035,19272,882885,775961,35181,71743
2021-02-16,4521909,135197,81587,53610,4313830,112508,95571,2939226,1582683,0.035,0.019,1839625,2089928,170683,1200400,1236633,1336138,107879,728440,602992,753790,62804,471960,4521909,0,106001,5679,23517,66034,58031,2675,16982,885204,753075,36979,95150
2021-02-17,4672165,150256,94376,55880,4436367,120460,115338,3033602,1638563,0.036,0.02,1920033,2147919,175770,1221928,1292995,1368705,110873,736858,627038,779214,64897,485070,4672165,0,122537,7952,19767,80408,57991,5087,21528,885451,736512,41062,107877
2021-02-18,4815698,143533,92035,51498,4547562,128396,139740,3125637,1690061,0.038,0.02,1995907,2206102,179208,1240945,1345328,1403985,112659,744258,650579,802117,66549,496687,4815698,0,111195,7936,24402,75874,58183,3438,19017,885954,727397,41703,116854
2021-02-19,4968759,153061,99297,53764,4665601,138196,164962,3224934,1743825,0.039,0.021,2076668,2266444,184080,1258305,1402958,1440066,115287,750941,673710,826378,68793,507364,4968759,0,118039,9800,25222,80761,60342,4872,17360,882159,712703,41629,127827
2021-02-20,5083019,114260,76436,37824,4753766,142666,186587,3301370,1781649,0.04,0.021,2138268,2310157,187738,1272296,1445964,1469322,117533,755178,692304,840835,70205,517118,5083019,0,88165,4470,21625,61600,43713,3658,13991,888312,708644,43052,136616
2021-02-21,5168835,85816,56915,28901,4821053,145894,201888,3358285,1810550,0.04,0.022,2187054,2340674,190304,1282667,1479917,1489494,118664,757407,707137,851180,71640,525260,5168835,0,67287,3228,15301,48786,30517,2566,10371,909236,720791,43878,144567
2021-02-22,5330110,161275,99936,61339,4948255,154993,226862,3458221,1871889,0.042,0.023,2266701,2410287,195201,1300517,1538362,1525084,121627,763642,728339,885203,73574,536875,5330110,0,127202,9099,24974,79647,69613,4897,17850,943398,740426,48164,154808
2021-02-23,5497108,166998,107106,59892,5080682,162152,254274,3565327,1931781,0.043,0.023,2346910,2483166,200501,1318387,1598211,1563793,124757,771284,748699,919373,75744,547103,5497108,0,132427,7159,27412,80209,72879,5300,17870,975199,766852,49644,158703
2021-02-24,5672024,174916,115794,59122,5212611,169887,289526,3681121,1990903,0.044,0.024,2431789,2557990,207079,1337422,1660503,1608669,128907,778912,771286,949321,78172,558510,5672024,0,131929,7735,35252,84879,74824,6578,19035,999859,776244,49427,174188
