date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,J&J,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca
2020-12-26,0,0,0,151125,0,0,NA,0,0,0,151125,0,0
2020-12-27,24504,0,0,0,0,0,NA,24504,0,0,151125,0,0
2020-12-28,18382,0,0,521625,0,0,NA,42886,0,0,672750,0,0
2020-12-29,49173,0,0,0,0,0,NA,92059,0,0,672750,0,0
2020-12-30,62411,0,0,653250,0,0,NA,154470,0,0,1326000,0,0
2020-12-31,50064,0,0,0,0,0,NA,204534,0,0,1326000,0,0
2021-01-01,19267,0,1,0,0,0,NA,223801,0,1,1326000,0,0
2021-01-02,52868,0,0,0,0,0,NA,276669,0,1,1326000,0,0
2021-01-03,24164,0,0,0,0,0,NA,300833,0,1,1326000,0,0
2021-01-04,48394,0,0,0,0,0,NA,349227,0,1,1326000,0,0
2021-01-05,53847,1,0,0,0,0,NA,403074,1,1,1326000,0,0
2021-01-06,62815,6,2,0,0,0,NA,465889,7,3,1326000,0,0
2021-01-07,56021,4,0,0,0,0,NA,521910,11,3,1326000,0,0
2021-01-08,63595,48,0,687375,0,0,NA,585505,59,3,2013375,0,0
2021-01-09,61365,0,0,0,0,0,NA,646870,59,3,2013375,0,0
2021-01-10,35272,0,0,0,0,0,NA,682142,59,3,2013375,0,0
2021-01-11,66874,1,0,0,0,0,NA,749016,60,3,2013375,0,0
2021-01-12,82931,0,2,0,63600,0,NA,831947,60,5,2013375,63600,0
2021-01-13,111421,797,0,0,0,0,NA,943368,857,5,2013375,63600,0
2021-01-14,78824,4627,0,0,0,0,NA,1022192,5484,5,2013375,63600,0
2021-01-15,85888,5437,19,0,0,0,NA,1108080,10921,24,2013375,63600,0
2021-01-16,55638,1772,0,0,0,0,NA,1163718,12693,24,2013375,63600,0
2021-01-17,47065,1305,1,0,0,0,NA,1210783,13998,25,2013375,63600,0
2021-01-18,78211,4035,1,0,0,0,NA,1288994,18033,26,2013375,63600,0
2021-01-19,111184,3470,50,842400,0,0,NA,1400178,21503,76,2855775,63600,0
2021-01-20,129472,2751,4,0,0,0,NA,1529650,24254,80,2855775,63600,0
2021-01-21,102354,2712,0,0,0,0,NA,1632004,26966,80,2855775,63600,0
2021-01-22,100091,2043,12,0,0,0,NA,1732095,29009,92,2855775,63600,0
2021-01-23,85175,383,1,0,0,0,NA,1817270,29392,93,2855775,63600,0
2021-01-24,49518,244,4,0,0,0,NA,1866788,29636,97,2855775,63600,0
2021-01-25,94502,1722,2,0,0,0,NA,1961290,31358,99,2855775,63600,0
2021-01-26,97938,1654,6,489060,0,0,NA,2059228,33012,105,3344835,63600,0
2021-01-27,109274,1925,8,0,0,0,NA,2168502,34937,113,3344835,63600,0
2021-01-28,89951,1635,1,0,0,0,NA,2258453,36572,114,3344835,63600,0
2021-01-29,107186,1405,65,0,0,0,NA,2365639,37977,179,3344835,63600,0
2021-01-30,86922,874,1,0,0,0,NA,2452561,38851,180,3344835,63600,0
2021-01-31,57649,376,0,0,90000,0,NA,2510210,39227,180,3344835,153600,0
2021-02-01,119557,2211,57,0,0,0,NA,2629767,41438,237,3344835,153600,0
2021-02-02,127955,2870,14,747630,0,0,NA,2757722,44308,251,4092465,153600,0
2021-02-03,153416,6389,20,0,0,0,NA,2911138,50697,271,4092465,153600,0
2021-02-04,126231,5875,6,0,0,0,NA,3037369,56572,277,4092465,153600,0
2021-02-05,138724,6399,7,0,0,0,NA,3176093,62971,284,4092465,153600,0
2021-02-06,97403,2466,1,0,0,345600,NA,3273496,65437,285,4092465,153600,345600
2021-02-07,51905,2349,2,0,0,0,NA,3325401,67786,287,4092465,153600,345600
2021-02-08,106431,3859,24,0,0,0,NA,3431832,71645,311,4092465,153600,345600
2021-02-09,128887,3881,110,747630,0,0,NA,3560719,75526,421,4840095,153600,345600
2021-02-10,139097,3869,7040,0,0,0,NA,3699816,79395,7461,4840095,153600,345600
2021-02-11,120307,7295,15424,0,0,0,NA,3820123,86690,22885,4840095,153600,345600
2021-02-12,132733,9874,14249,0,0,391200,NA,3952856,96564,37134,4840095,153600,736800
2021-02-13,92225,3047,12840,0,0,0,NA,4045081,99611,49974,4840095,153600,736800
2021-02-14,55137,2402,7350,0,0,0,NA,4100218,102013,57324,4840095,153600,736800
2021-02-15,107565,4813,14732,0,182400,0,NA,4207783,106826,72056,4840095,336000,736800
2021-02-16,105999,5679,23520,904410,0,0,NA,4313782,112505,95576,5744505,336000,736800
2021-02-17,122536,7952,19767,0,0,0,NA,4436318,120457,115343,5744505,336000,736800
2021-02-18,111192,7936,24402,0,0,0,NA,4547510,128393,139745,5744505,336000,736800
2021-02-19,118039,9800,25220,0,0,715200,NA,4665549,138193,164965,5744505,336000,1452000
2021-02-20,88165,4470,21626,0,0,0,NA,4753714,142663,186591,5744505,336000,1452000
