date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24502,24502,24491,11,24502,0,0,24491,11,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24502,0,0,24502,0,0,0,10705,8657,1305,12604,24502,0,NA,NA,NA,NA,NA
2020-12-28,42884,18382,18382,0,42884,0,0,42873,11,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42884,0,0,18382,0,0,0,7916,7131,686,8740,18382,0,NA,NA,NA,NA,NA
2020-12-29,92345,49461,48872,589,92345,0,0,91745,600,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92345,0,0,49461,0,0,0,16368,24946,1116,19164,49461,0,NA,NA,NA,NA,NA
2020-12-30,154818,62473,62469,4,154818,0,0,154214,604,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,154818,0,0,62473,0,0,0,20521,32631,1794,22698,62473,0,NA,NA,NA,NA,NA
2020-12-31,204882,50064,49924,140,204882,0,0,204138,744,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,204882,0,0,50064,0,0,0,17321,23354,1851,20759,50064,0,NA,NA,NA,NA,NA
2021-01-01,224150,19268,19268,0,224149,0,1,223406,744,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224150,0,0,19267,0,1,0,8377,8730,1078,8336,19268,0,NA,NA,NA,NA,NA
2021-01-02,277189,53039,52763,276,277188,0,1,276169,1020,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277189,0,0,53039,0,0,0,21566,24282,2520,20957,53039,0,277189,277188,0,1,0
2021-01-03,301389,24200,24199,1,301388,0,1,300368,1021,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,301389,0,0,24200,0,0,0,10270,10496,934,10021,24200,0,276887,276886,0,1,0
2021-01-04,349782,48393,48393,0,349781,0,1,348761,1021,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,349782,0,0,48393,0,0,0,16602,24686,2667,15812,48393,0,306898,306897,0,1,0
2021-01-05,403628,53846,53821,25,403626,1,1,402582,1046,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,403628,0,0,53845,1,0,0,18341,27652,2538,18565,53846,0,311283,311281,1,1,0
2021-01-06,466451,62823,62822,1,466441,7,3,465404,1047,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,466451,0,0,62815,6,2,0,21511,32965,3421,23156,62823,0,311633,311623,7,3,0
2021-01-07,522474,56023,56019,4,522460,11,3,521423,1051,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,522474,0,0,56019,4,0,0,19674,29338,3047,16421,56023,0,317592,317578,11,3,0
2021-01-08,586118,63644,63326,318,586056,59,3,584749,1369,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,586118,0,0,63596,48,0,0,22349,32447,3367,20986,63644,0,361968,361907,59,2,0
2021-01-09,647485,61367,61321,46,647423,59,3,646070,1415,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,647485,0,0,61367,0,0,0,25801,25923,2683,25106,61367,0,370296,370235,59,2,0
