date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24502,0,0,0,0,0,0,0,24502,0,0,0,151125,0,0,0
2020-12-28,18382,0,0,0,521625,0,0,0,42884,0,0,0,672750,0,0,0
2020-12-29,49461,0,0,0,0,0,0,0,92345,0,0,0,672750,0,0,0
2020-12-30,62473,0,0,0,653250,0,0,0,154818,0,0,0,1326000,0,0,0
2020-12-31,50064,0,0,0,0,0,0,0,204882,0,0,0,1326000,0,0,0
2021-01-01,19267,0,1,0,0,0,0,0,224149,0,1,0,1326000,0,0,0
2021-01-02,53039,0,0,0,0,0,0,0,277188,0,1,0,1326000,0,0,0
2021-01-03,24200,0,0,0,0,0,0,0,301388,0,1,0,1326000,0,0,0
2021-01-04,48393,0,0,0,0,0,0,0,349781,0,1,0,1326000,0,0,0
2021-01-05,53845,1,0,0,0,0,0,0,403626,1,1,0,1326000,0,0,0
2021-01-06,62815,6,2,0,0,0,0,0,466441,7,3,0,1326000,0,0,0
2021-01-07,56019,4,0,0,0,0,0,0,522460,11,3,0,1326000,0,0,0
2021-01-08,63596,48,0,0,687375,0,0,0,586056,59,3,0,2013375,0,0,0
2021-01-09,61367,0,0,0,0,0,0,0,647423,59,3,0,2013375,0,0,0
2021-01-10,35271,0,0,0,0,0,0,0,682694,59,3,0,2013375,0,0,0
2021-01-11,66873,1,0,0,0,0,0,0,749567,60,3,0,2013375,0,0,0
2021-01-12,82928,0,2,0,0,63600,0,0,832495,60,5,0,2013375,63600,0,0
2021-01-13,111471,797,0,0,0,0,0,0,943966,857,5,0,2013375,63600,0,0
2021-01-14,78828,4627,0,0,0,0,0,0,1022794,5484,5,0,2013375,63600,0,0
