date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,dosen_biontech_erst_kumulativ,dosen_biontech_zweit_kumulativ,dosen_moderna_erst_kumulativ,dosen_moderna_zweit_kumulativ,dosen_astrazeneca_erst_kumulativ,dosen_astrazeneca_zweit_kumulativ,new_vacs_pfizer,new_vacs_moderna,new_vacs_astrazeneca,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24475,24475,24464,11,24475,0,0,24464,11,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24475,0,0,24464,11,0,0,0,0,24475,0,0,0,10705,8657,1305,12604,24475,0,NA,NA,NA,NA,NA
2020-12-28,42815,18340,18340,0,42815,0,0,42804,11,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42815,0,0,42804,11,0,0,0,0,18340,0,0,0,7916,7131,686,8740,18340,0,NA,NA,NA,NA,NA
2020-12-29,92367,49552,48963,589,92367,0,0,91767,600,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92367,0,0,91767,600,0,0,0,0,49552,0,0,0,16368,24946,1116,19164,49552,0,NA,NA,NA,NA,NA
2020-12-30,154908,62541,62537,4,154908,0,0,154304,604,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,154908,0,0,154304,604,0,0,0,0,62541,0,0,0,20521,32631,1794,22698,62541,0,NA,NA,NA,NA,NA
2020-12-31,204953,50045,49905,140,204953,0,0,204209,744,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,204953,0,0,204209,744,0,0,0,0,50045,0,0,0,17321,23354,1851,20759,50045,0,NA,NA,NA,NA,NA
2021-01-01,224225,19272,19272,0,224224,0,1,223481,744,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224225,0,0,223480,744,0,0,1,0,19271,0,1,0,8377,8730,1078,8336,19272,0,NA,NA,NA,NA,NA
2021-01-02,277321,53096,52820,276,277320,0,1,276301,1020,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277321,0,0,276300,1020,0,0,1,0,53096,0,0,0,21566,24282,2520,20957,53096,0,277321,277320,0,1,0
2021-01-03,301530,24209,24208,1,301529,0,1,300509,1021,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,301530,0,0,300508,1021,0,0,1,0,24209,0,0,0,10270,10496,934,10021,24209,0,277055,277054,0,1,0
2021-01-04,349919,48389,48389,0,349918,0,1,348898,1021,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,349919,0,0,348897,1021,0,0,1,0,48389,0,0,0,16602,24686,2667,15812,48389,0,307104,307103,0,1,0
2021-01-05,403979,54060,54035,25,403977,1,1,402933,1046,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,403979,0,0,402931,1046,1,0,1,0,54059,1,0,0,18341,27652,2538,18565,54060,0,311612,311610,1,1,0
2021-01-06,466834,62855,62854,1,466824,7,3,465787,1047,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,466834,0,0,465777,1047,7,0,3,0,62847,6,2,0,21511,32965,3421,23156,62855,0,311926,311916,7,3,0
2021-01-07,522696,55862,55858,4,522682,11,3,521645,1051,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,522696,0,0,521631,1051,11,0,3,0,55858,4,0,0,19674,29338,3047,16421,55862,0,317743,317729,11,3,0
2021-01-08,586179,63483,63165,318,586117,59,3,584810,1369,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,586179,0,0,584748,1369,59,0,3,0,63435,48,0,0,22349,32447,3367,20986,63483,0,361954,361893,59,2,0
2021-01-09,647544,61365,61319,46,647482,59,3,646129,1415,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,647544,0,0,646067,1415,59,0,3,0,61365,0,0,0,25801,25923,2683,25106,61365,0,370223,370162,59,2,0
2021-01-10,682905,35361,35353,8,682843,59,3,681482,1423,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,682905,0,0,681420,1423,59,0,3,0,35361,0,0,0,15133,14556,1372,12990,35361,0,381375,381314,59,2,0
2021-01-11,750353,67448,67400,48,750290,60,3,748882,1471,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,750353,0,0,748819,1471,60,0,3,0,67447,1,0,0,25058,31382,3208,20459,67448,0,400434,400372,60,2,0
2021-01-12,833139,82786,82736,50,833069,65,5,831618,1521,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,833139,0,0,831548,1521,65,0,5,0,82779,5,2,0,28182,42162,2995,24957,82786,0,429160,429092,64,4,0
