location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11589616,298,298,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11589616,299,299,NA,1,1,0,0,NA,0,NA,NA,NA,NA
Belgium,2020-12-30,11589616,776,776,NA,477,239,0.01,0.01,NA,21,NA,NA,NA,NA
Belgium,2020-12-31,11589616,786,786,NA,10,163,0.01,0.01,NA,14,NA,NA,NA,NA
Belgium,2021-01-01,11589616,794,794,NA,8,124,0.01,0.01,NA,11,NA,NA,NA,NA
Belgium,2021-01-02,11589616,NA,NA,NA,NA,99,NA,NA,NA,9,NA,NA,NA,NA
Belgium,2021-01-03,11589616,NA,NA,NA,NA,83,NA,NA,NA,7,NA,NA,NA,NA
Belgium,2021-01-04,11589616,796,796,NA,NA,71,0.01,0.01,NA,6,NA,NA,NA,NA
Belgium,2021-01-05,11589616,2499,2499,NA,1703,314,0.02,0.02,NA,27,NA,NA,NA,NA
Belgium,2021-01-06,11589616,6381,6381,NA,3882,801,0.06,0.06,NA,69,NA,NA,NA,NA
Belgium,2021-01-07,11589616,14565,14565,1,8184,1968,0.13,0.13,0,170,NA,NA,NA,NA
Belgium,2021-01-08,11589616,23809,23809,1,9244,3288,0.21,0.21,0,284,NA,NA,NA,NA
Belgium,2021-01-09,11589616,27016,27016,1,3207,3746,0.23,0.23,0,323,NA,NA,NA,NA
Belgium,2021-01-10,11589616,27417,27417,1,401,3803,0.24,0.24,0,328,NA,NA,NA,NA
Belgium,2021-01-11,11589616,32998,32998,1,5581,4600,0.28,0.28,0,397,32202,277.85217387702926,NA,NA
Belgium,2021-01-12,11589616,48698,48698,1,15700,6600,0.42,0.42,0,569,46199,398.6240786579987,NA,NA
Belgium,2021-01-13,11589616,70114,70114,2,21416,9105,0.6,0.6,0,786,63733,549.9146822465905,NA,NA
Belgium,2021-01-14,11589616,93339,93339,2,23225,11253,0.81,0.81,0,971,78774,679.6946507977486,NA,NA
Belgium,2021-01-15,11589616,116661,116661,2,23322,13265,1.01,1.01,0,1145,92852,801.1654570781293,NA,NA
Belgium,2021-01-16,11589616,121821,121821,3,5160,13544,1.05,1.05,0,1169,94805,818.0167487861548,NA,NA
Belgium,2021-01-17,11589616,125125,125125,3,3304,13958,1.08,1.08,0,1204,97708,843.0650333885092,NA,NA
Belgium,2021-01-18,11589616,136156,136047,112,11031,14737,1.17,1.17,0,1272,103158,890.0898873612379,135360,1167.9420612382671
Belgium,2021-01-19,11589616,155402,155112,295,19246,15243,1.34,1.34,0,1315,106704,920.686241891017,152903,1319.3103205490156
