date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,23999,23999,23986,13,23998,1,0,23986,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,23999,0,0,23985,13,1,0,0,0,23998,23985,13,1,1,0,0,0,0,0,10705,8657,1305,12604,23999,0,NA,NA,NA,NA,NA
2020-12-28,42484,18485,18448,37,42483,1,0,42434,50,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42484,0,0,42433,50,1,0,0,0,18485,18448,37,0,0,0,0,0,0,0,7916,7131,686,8740,18485,0,NA,NA,NA,NA,NA
2020-12-29,93219,50735,50010,725,93218,1,0,92444,775,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,93219,0,0,92443,775,1,0,0,0,50735,50010,725,0,0,0,0,0,0,0,16368,24946,1116,19164,50735,0,NA,NA,NA,NA,NA
2020-12-30,155891,62672,62552,120,155890,1,0,154996,895,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155891,0,0,154995,895,1,0,0,0,62672,62552,120,0,0,0,0,0,0,0,20521,32631,1794,22698,62672,0,NA,NA,NA,NA,NA
2020-12-31,205910,50019,49870,149,205909,1,0,204866,1044,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205910,0,0,204865,1044,1,0,0,0,50019,49870,149,0,0,0,0,0,0,0,17321,23354,1851,20759,50019,0,NA,NA,NA,NA,NA
2021-01-01,224688,18778,18771,7,224686,1,1,223637,1051,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,224688,0,0,223635,1051,1,0,1,0,18777,18770,7,0,0,0,1,1,0,0,8377,8730,1078,8336,18778,0,NA,NA,NA,NA,NA
2021-01-02,277109,52421,52138,283,277107,1,1,275775,1334,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,277109,0,0,275773,1334,1,0,1,0,52421,52138,283,0,0,0,0,0,0,0,21566,24282,2520,20957,52421,0,277109,277107,1,1,0
2021-01-03,300886,23777,23772,5,300884,1,1,299547,1339,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,300886,0,0,299545,1339,1,0,1,0,23777,23772,5,0,0,0,0,0,0,0,10270,10496,934,10021,23777,0,276887,276886,0,1,0
2021-01-04,348963,48077,48026,51,348961,1,1,347573,1390,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,348963,0,0,347571,1390,1,0,1,0,48077,48026,51,0,0,0,0,0,0,0,16602,24686,2667,15812,48077,0,306479,306478,0,1,0
2021-01-05,402678,53715,53685,30,402675,2,1,401258,1420,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,402678,0,0,401255,1420,2,0,1,0,53714,53684,30,1,1,0,0,0,0,0,18341,27652,2538,18565,53715,0,309459,309457,1,1,0
