date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24100,1,0,0,0,0,0,0,24100,1,0,0,151125,0,0,0
2020-12-28,18556,0,0,0,521625,0,0,0,42656,1,0,0,672750,0,0,0
2020-12-29,50852,0,0,0,0,0,0,0,93508,1,0,0,672750,0,0,0
2020-12-30,63030,0,0,0,653250,0,0,0,156538,1,0,0,1326000,0,0,0
2020-12-31,50200,0,0,0,0,0,0,0,206738,1,0,0,1326000,0,0,0
2021-01-01,18930,0,1,0,0,0,0,0,225668,1,1,0,1326000,0,0,0
2021-01-02,52544,0,0,0,0,0,0,0,278212,1,1,0,1326000,0,0,0
2021-01-03,23896,0,0,0,0,0,0,0,302108,1,1,0,1326000,0,0,0
2021-01-04,48172,0,0,0,0,0,0,0,350280,1,1,0,1326000,0,0,0
2021-01-05,53766,1,0,0,0,0,0,0,404046,2,1,0,1326000,0,0,0
2021-01-06,62650,6,2,0,0,0,0,0,466696,8,3,0,1326000,0,0,0
2021-01-07,56074,3,0,0,0,0,0,0,522770,11,3,0,1326000,0,0,0
2021-01-08,62987,49,0,0,687375,0,0,0,585757,60,3,0,2013375,0,0,0
2021-01-09,61430,0,0,0,0,0,0,0,647187,60,3,0,2013375,0,0,0
2021-01-10,35510,0,0,0,0,0,0,0,682697,60,3,0,2013375,0,0,0
2021-01-11,67596,2,0,0,0,0,0,0,750293,62,3,0,2013375,0,0,0
2021-01-12,83000,7,1,0,0,63600,0,0,833293,69,4,0,2013375,63600,0,0
2021-01-13,111061,798,0,0,0,0,0,0,944354,867,4,0,2013375,63600,0,0
2021-01-14,78602,4625,0,0,0,0,0,0,1022956,5492,4,0,2013375,63600,0,0
2021-01-15,86155,5461,5,0,0,0,0,0,1109111,10953,9,0,2013375,63600,0,0
2021-01-16,55827,1781,0,0,0,0,0,0,1164938,12734,9,0,2013375,63600,0,0
2021-01-17,47728,1305,1,0,0,0,0,0,1212666,14039,10,0,2013375,63600,0,0
2021-01-18,78600,4040,1,0,0,0,0,0,1291266,18079,11,0,2013375,63600,0,0
2021-01-19,114300,3504,14,0,842400,0,0,0,1405566,21583,25,0,2855775,63600,0,0
2021-01-20,129459,2764,3,0,0,0,0,0,1535025,24347,28,0,2855775,63600,0,0
2021-01-21,105094,2744,0,0,0,0,0,0,1640119,27091,28,0,2855775,63600,0,0
2021-01-22,101974,2104,7,0,0,0,0,0,1742093,29195,35,0,2855775,63600,0,0
2021-01-23,84621,383,1,0,0,0,0,0,1826714,29578,36,0,2855775,63600,0,0
2021-01-24,48976,244,4,0,0,0,0,0,1875690,29822,40,0,2855775,63600,0,0
2021-01-25,90064,1731,2,0,0,0,0,0,1965754,31553,42,0,2855775,63600,0,0
2021-01-26,97065,1652,6,0,489060,0,0,0,2062819,33205,48,0,3344835,63600,0,0
2021-01-27,109225,1956,8,0,0,0,0,0,2172044,35161,56,0,3344835,63600,0,0
2021-01-28,89586,1636,3,0,0,0,0,0,2261630,36797,59,0,3344835,63600,0,0
2021-01-29,107701,1405,5,0,0,0,0,0,2369331,38202,64,0,3344835,63600,0,0
2021-01-30,87649,874,1,0,0,0,0,0,2456980,39076,65,0,3344835,63600,0,0
2021-01-31,56134,377,3,0,0,90000,0,0,2513114,39453,68,0,3344835,153600,0,0
2021-02-01,118370,2209,51,0,0,0,0,0,2631484,41662,119,0,3344835,153600,0,0
2021-02-02,129057,2867,13,0,747630,0,0,0,2760541,44529,132,0,4092465,153600,0,0
2021-02-03,153270,6386,24,1,0,0,0,0,2913811,50915,156,1,4092465,153600,0,0
2021-02-04,125969,5870,5,0,0,0,0,0,3039780,56785,161,1,4092465,153600,0,0
2021-02-05,138474,6394,8,0,0,0,0,0,3178254,63179,169,1,4092465,153600,0,0
2021-02-06,97754,2526,1,0,0,0,345600,0,3276008,65705,170,1,4092465,153600,345600,0
2021-02-07,51872,2398,2,0,0,0,0,0,3327880,68103,172,1,4092465,153600,345600,0
2021-02-08,105948,3971,24,0,0,0,0,0,3433828,72074,196,1,4092465,153600,345600,0
2021-02-09,129866,3934,115,0,747630,0,0,0,3563694,76008,311,1,4840095,153600,345600,0
2021-02-10,140917,4013,7030,0,0,0,0,0,3704611,80021,7341,1,4840095,153600,345600,0
2021-02-11,118687,7146,15432,2,0,0,0,0,3823298,87167,22773,3,4840095,153600,345600,0
2021-02-12,133269,9818,14375,2,0,0,391200,0,3956567,96985,37148,5,4840095,153600,736800,0
2021-02-13,91690,3186,12807,1,0,0,0,0,4048257,100171,49955,6,4840095,153600,736800,0
2021-02-14,55572,2445,7251,1,0,0,0,0,4103829,102616,57206,7,4840095,153600,736800,0
2021-02-15,107088,4972,14809,1,0,182400,0,0,4210917,107588,72015,8,4840095,336000,736800,0
2021-02-16,107288,5790,23646,1,904410,0,0,0,4318205,113378,95661,9,5744505,336000,736800,0
2021-02-17,121825,7787,19728,1,0,0,0,0,4440030,121165,115389,10,5744505,336000,736800,0
2021-02-18,111053,8012,23724,1,0,0,0,0,4551083,129177,139113,11,5744505,336000,736800,0
2021-02-19,119275,9983,25432,1,0,0,715200,0,4670358,139160,164545,12,5744505,336000,1452000,0
2021-02-20,87252,4527,21665,1,0,0,0,0,4757610,143687,186210,13,5744505,336000,1452000,0
2021-02-21,67628,3228,15295,1,0,0,0,0,4825238,146915,201505,14,5744505,336000,1452000,0
2021-02-22,126150,9124,25138,1,0,0,0,0,4951388,156039,226643,15,5744505,336000,1452000,0
2021-02-23,132530,7157,27497,1,926640,0,0,0,5083918,163196,254140,16,6671145,336000,1452000,0
2021-02-24,132839,7775,35412,1,0,0,0,0,5216757,170971,289552,17,6671145,336000,1452000,0
2021-02-25,131216,6704,51566,0,0,0,0,0,5347973,177675,341118,17,6671145,336000,1452000,0
2021-02-26,140323,8838,60786,0,0,0,0,0,5488296,186513,401904,17,6671145,336000,1452000,0
2021-02-27,92832,4202,51523,0,0,343200,0,0,5581128,190715,453427,17,6671145,679200,1452000,0
2021-02-28,62394,3951,41711,0,0,0,0,0,5643522,194666,495138,17,6671145,679200,1452000,0
2021-03-01,128658,9413,57818,0,0,0,0,0,5772180,204079,552956,17,6671145,679200,1452000,0
2021-03-02,140639,10176,69340,0,1014390,0,650400,0,5912819,214255,622296,17,7685535,679200,2102400,0
2021-03-03,156932,13845,73094,0,0,0,0,0,6069751,228100,695390,17,7685535,679200,2102400,0
2021-03-04,142435,14205,87112,0,0,0,0,0,6212186,242305,782502,17,7685535,679200,2102400,0
2021-03-05,147294,13333,108839,0,0,0,0,0,6359480,255638,891341,17,7685535,679200,2102400,0
2021-03-06,110806,8591,83110,0,0,0,0,0,6470286,264229,974451,17,7685535,679200,2102400,0
2021-03-07,82503,6731,61173,0,0,0,0,0,6552789,270960,1035624,17,7685535,679200,2102400,0
2021-03-08,135744,11009,92521,0,0,0,0,0,6688533,281969,1128145,17,7685535,679200,2102400,0
