location,date,population,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_vacs_7day_rollsum,new_vacs_7day_rollsum_per_100k,new_vacs_14day_rollsum,new_vacs_14ay_rollsum_per_100k
Belgium,2020-12-21,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-22,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-23,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-24,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-25,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-26,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-27,11589616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,2020-12-28,11589616,302,302,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Belgium,2020-12-29,11589616,316,316,10,14,14,0,0,0,1,NA,NA,NA,NA
Belgium,2020-12-30,11589616,803,803,19,487,250,0.01,0.01,0,22,NA,NA,NA,NA
Belgium,2020-12-31,11589616,816,816,19,13,171,0.01,0.01,0,15,NA,NA,NA,NA
Belgium,2021-01-01,11589616,818,818,19,2,129,0.01,0.01,0,11,NA,NA,NA,NA
Belgium,2021-01-02,11589616,831,831,32,13,106,0.01,0.01,0,9,NA,NA,NA,NA
Belgium,2021-01-03,11589616,837,837,32,6,89,0.01,0.01,0,8,NA,NA,NA,NA
Belgium,2021-01-04,11589616,846,846,35,9,78,0.01,0.01,0,7,544,4.693856983699892,NA,NA
Belgium,2021-01-05,11589616,2574,2574,52,1728,323,0.02,0.02,0,28,2258,19.48295784778374,NA,NA
Belgium,2021-01-06,11589616,6514,6514,75,3940,816,0.06,0.06,0,70,5711,49.27686991527588,NA,NA
Belgium,2021-01-07,11589616,14889,14889,88,8375,2010,0.13,0.13,0,173,14073,121.42766421251577,NA,NA
Belgium,2021-01-08,11589616,24213,24213,122,9324,3342,0.21,0.21,0,288,23395,201.86173553981428,NA,NA
Belgium,2021-01-09,11589616,27451,27451,132,3238,3803,0.24,0.24,0,328,26620,229.68836931266748,NA,NA
Belgium,2021-01-10,11589616,27861,27860,133,410,3861,0.24,0.24,0,333,27024,233.1742483961505,NA,NA
Belgium,2021-01-11,11589616,33480,33478,143,5619,4662,0.29,0.29,0,402,32634,281.57964854055564,33178,286.27350552425554
Belgium,2021-01-12,11589616,49430,49428,164,15950,6694,0.43,0.43,0,578,46856,404.29294637544507,49114,423.7759042232288
Belgium,2021-01-13,11589616,71192,71080,291,21762,9240,0.61,0.61,0,797,64678,558.0685330730544,70389,607.3454029883303
Belgium,2021-01-14,11589616,94560,94443,307,23368,11382,0.82,0.81,0,982,79671,687.4343377727097,93744,808.8620019852254
Belgium,2021-01-15,11589616,118167,118044,331,23607,13422,1.02,1.02,0,1158,93954,810.6739688355508,117349,1012.5357043753651
Belgium,2021-01-16,11589616,123371,123248,341,5204,13703,1.06,1.06,0,1182,95920,827.6374299200249,122540,1057.3257992326926
Belgium,2021-01-17,11589616,126593,126469,342,3222,14105,1.09,1.09,0,1217,98732,851.9005288872384,125756,1085.0747772833888
Belgium,2021-01-18,11589616,137705,137461,475,11112,14889,1.19,1.19,0,1285,104225,899.2964046436051,136859,1180.8760531841608
