date,cum_vacs,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_vacs_pfizer,cum_vacs_moderna,cum_vacs_astrazeneca,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_jj,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,cum_vacs_first_dose_all,cum_vacs_second_dose_all,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24094,24094,24081,13,24092,2,0,24081,13,0,0,10705,8657,1305,12604,10664,8590,1305,12536,41,67,0,68,24094,0,0,24079,13,2,0,0,0,24081,13,24092,24079,13,2,2,0,0,0,0,0,10705,8657,1305,12604,24094,0,NA,NA,NA,NA,NA
2020-12-28,42092,17998,17836,162,42090,2,0,41917,175,0.001,0,18621,15788,1991,21344,18580,15721,1991,21276,41,67,0,68,42092,0,0,41915,175,2,0,0,0,41917,175,17998,17836,162,0,0,0,0,0,0,0,7916,7131,686,8740,17998,0,NA,NA,NA,NA,NA
2020-12-29,92111,50019,49285,734,92108,2,1,91202,909,0.001,0,34989,40734,3107,40508,34724,40420,3107,40099,265,314,0,409,92111,0,0,91199,909,2,0,1,0,91202,909,50018,49284,734,0,0,0,1,1,0,0,16368,24946,1116,19164,50019,0,NA,NA,NA,NA,NA
2020-12-30,155606,63495,63357,138,155603,2,1,154559,1047,0.002,0,55510,73365,4901,63206,55243,73050,4901,62794,267,315,0,412,155606,0,0,154556,1047,2,0,1,0,154559,1047,63495,63357,138,0,0,0,0,0,0,0,20521,32631,1794,22698,63495,0,NA,NA,NA,NA,NA
2020-12-31,205297,49691,49602,89,205294,2,1,204161,1136,0.002,0,72831,96719,6752,83965,72517,96367,6752,83476,314,352,0,489,205297,0,0,204158,1136,2,0,1,0,204161,1136,49691,49602,89,0,0,0,0,0,0,0,17321,23354,1851,20759,49691,0,NA,NA,NA,NA,NA
2021-01-01,230651,25354,25345,9,230640,7,4,229506,1145,0.003,0,81208,105449,7830,92301,80894,105097,7830,91812,314,352,0,489,230651,0,0,229496,1144,7,0,3,1,229506,1145,25346,25338,8,5,5,0,3,2,1,0,8377,8730,1078,8336,25354,0,NA,NA,NA,NA,NA
2021-01-02,278601,47950,47664,286,278590,7,4,277170,1431,0.003,0,102774,129731,10350,113258,102365,129304,10350,112629,409,427,0,629,278601,0,0,277160,1430,7,0,3,1,277170,1431,47950,47664,286,0,0,0,0,0,0,0,21566,24282,2520,20957,47950,0,278601,278590,7,4,0
2021-01-03,301013,22412,22407,5,301001,8,4,299577,1436,0.004,0,113044,140227,11284,123279,112635,139800,11284,122650,409,427,0,629,301013,0,0,299566,1435,8,0,3,1,299577,1436,22411,22406,5,1,1,0,0,0,0,0,10270,10496,934,10021,22412,0,276919,276909,6,4,0
2021-01-04,346839,45826,45730,96,346826,9,4,345307,1532,0.004,0,129646,164913,13951,139091,129237,164486,13951,138462,409,427,0,629,346839,0,0,345295,1531,9,0,3,1,345307,1532,45825,45729,96,1,1,0,0,0,0,0,16602,24686,2667,15812,45826,0,304747,304736,7,4,0
2021-01-05,398809,51970,51633,337,398795,10,4,396940,1869,0.005,0,147987,192565,16489,157656,147576,192117,16489,157025,411,448,0,631,398809,0,0,396927,1868,10,0,3,1,396940,1869,51969,51632,337,1,1,0,0,0,0,0,18341,27652,2538,18565,51970,0,306698,306687,8,3,0
2021-01-06,461265,62456,62364,92,461242,16,7,459304,1961,0.006,0,169498,225530,19910,180812,169086,225082,19910,180181,412,448,0,631,461265,0,0,459283,1959,16,0,5,2,459304,1961,62447,62356,91,6,6,0,3,2,1,0,21511,32965,3421,23156,62456,0,305659,305639,14,6,0
2021-01-07,515227,53962,53941,21,515199,19,9,513245,1982,0.006,0,189172,254868,22957,197233,188758,254418,22957,196600,414,450,0,633,515227,0,0,513219,1980,19,0,7,2,513245,1982,53957,53936,21,3,3,0,2,2,0,0,19674,29338,3047,16421,53962,0,309930,309905,17,8,0
2021-01-08,576883,61656,61548,108,576803,70,10,574793,2090,0.007,0,211521,287315,26324,218219,211009,286711,26320,217449,512,604,4,770,576883,0,0,574715,2088,70,0,8,2,574793,2090,61604,61496,108,51,51,0,1,1,0,0,22349,32447,3367,20986,61656,0,346232,346163,63,6,0
2021-01-09,636853,59970,59822,148,636769,73,11,634615,2238,0.008,0,237322,313238,29007,243325,236798,312599,29003,242545,524,639,4,780,636853,0,0,634534,2235,73,0,8,3,634615,2238,59966,59819,147,3,3,0,1,0,1,0,25801,25923,2683,25106,59970,0,358252,358179,66,7,0
2021-01-10,672105,35252,35103,149,672013,81,11,669718,2387,0.008,0,252455,327794,30379,256315,251929,327151,30375,255535,526,643,4,780,672105,0,0,669630,2383,80,1,8,3,669718,2387,35244,35096,148,8,7,1,0,0,0,0,15133,14556,1372,12990,35252,0,371092,371012,73,7,0
2021-01-11,739603,67498,67396,102,739496,94,13,737114,2489,0.009,0,277513,359176,33587,276774,276967,358513,33583,275968,546,663,4,806,739603,0,0,737017,2479,87,7,10,3,737114,2489,67483,67387,96,13,7,6,2,2,0,0,25058,31382,3208,20459,67498,0,392764,392670,85,9,0
2021-01-12,818048,78445,78381,64,817925,109,14,815495,2553,0.01,0,305695,401338,36582,301731,305147,400670,36578,300888,548,668,4,843,818048,0,0,815383,2542,102,7,10,4,815495,2553,78429,78366,63,15,15,0,1,0,1,0,28182,42162,2995,24957,78445,0,419239,419130,99,10,0
2021-01-13,929108,111060,110859,201,927816,1278,14,926354,2754,0.011,0,345167,458844,40485,337339,344574,458093,40466,336399,593,751,19,940,929108,0,0,925073,2743,1271,7,10,4,926354,2754,109891,109690,201,1169,1169,0,0,0,0,0,39472,57506,3903,35608,111060,0,467843,466574,1262,7,0
2021-01-14,1012537,83429,83207,222,1006096,6427,14,1009561,2976,0.012,0,374803,501101,42769,361463,374094,500254,42750,360452,709,847,19,1011,1012537,0,0,1003175,2921,6376,51,10,4,1009561,2976,78280,78102,178,5149,5105,44,0,0,0,0,29636,42257,2284,24124,83429,0,497310,490897,6408,5,0
2021-01-15,1103284,90747,89901,846,1091572,11693,19,1099462,3822,0.013,0,408725,545673,46728,389202,407810,544625,46700,387982,915,1048,28,1220,1103284,0,0,1087805,3767,11642,51,15,4,1099462,3822,85476,84630,846,5266,5266,0,5,5,0,0,33922,44572,3959,27739,90747,0,526401,514769,11623,9,0
2021-01-16,1160641,57357,56336,1021,1147249,13372,20,1155798,4843,0.014,0,432983,570627,48859,408798,431664,569232,48767,407047,1319,1395,92,1751,1160641,0,0,1142461,4788,13321,51,16,4,1155798,4843,55677,54656,1021,1679,1679,0,1,1,0,0,24258,24954,2131,19596,57357,0,523788,510480,13299,9,0
2021-01-17,1208264,47623,29831,17792,1193609,14633,21,1185630,22635,0.014,0,453449,591002,50884,428544,444215,583354,50014,417145,9234,7648,870,11399,1208264,0,1,1171030,22579,14582,51,17,4,1185629,22635,46360,28569,17791,1261,1261,0,1,1,0,1,20466,20375,2025,19746,47623,0,536159,521596,14552,10,1
2021-01-18,1290172,81908,66168,15740,1271373,18776,22,1251798,38375,0.015,0,482728,633883,53106,448900,467235,619730,51700,430238,15493,14153,1406,18662,1290172,0,1,1233056,38317,18723,53,18,4,1251797,38375,77764,62026,15738,4143,4141,2,1,1,0,0,29279,42881,2222,20356,81908,0,550569,531877,18682,9,1
2021-01-19,1408976,118804,82360,36444,1386502,22443,30,1334158,74819,0.016,0.001,519765,695968,56714,479843,492669,666683,54375,447938,27096,29285,2339,31905,1408976,0,1,1311745,74757,22386,57,26,4,1334157,74819,115129,78689,36440,3667,3663,4,8,8,0,0,37037,62085,3608,30943,118804,0,590928,568577,22334,16,1
2021-01-20,1541378,132402,77816,54586,1516159,25185,33,1411974,129405,0.017,0.002,568076,760039,60957,522078,522876,706310,57505,469463,45200,53729,3452,52615,1541378,0,1,1386816,129343,25128,57,29,4,1411973,129405,129657,75071,54586,2742,2742,0,3,3,0,0,48311,64071,4243,42235,132402,0,612270,588343,23907,19,1
