date,cum_vacs,cum_vacs_pfizer,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_moderna,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_astrazeneca,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,cum_vacs_jj,cum_vacs_first_dose_all,cum_vacs_second_dose_all,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24157,24155,24142,13,2,2,0,0,0,0,0,24144,13,24157,24144,13,24144,13,2.9030846248085e-4,1.5631254192557885e-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24155,24142,13,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-28,42188,42186,42012,174,2,2,0,0,0,0,0,42014,174,18031,17870,161,42014,174,5.0517808742009e-4,2.09218325346e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18031,17870,161,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-29,92392,92389,91474,915,2,2,0,1,1,0,0,91477,915,50204,49463,741,91477,915,0.00109992326136355,1.100199814322e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50203,49462,741,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-30,156219,156216,155163,1053,2,2,0,1,1,0,0,155166,1053,63827,63689,138,155166,1053,0.00186572245234033,1.266131589597e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63827,63689,138,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-31,206049,206046,204904,1142,2,2,0,1,1,0,0,204907,1142,49830,49741,89,204907,1142,0.00246381030987266,1.373145560607e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49830,49741,89,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2021-01-01,231484,231473,230323,1150,7,7,0,4,3,1,0,230333,1151,25435,25426,9,230333,1151,0.00276953359379571,1.383967198125e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25427,25419,8,5,5,0,3,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2021-01-02,279544,279533,278097,1436,7,7,0,4,3,1,0,278107,1437,48060,47774,286,278107,1437,0.00334397016133053,1.727854790361e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48060,47774,286,0,0,0,0,0,0,0,0,0,0,0,0,0,279544,279533,7,4,0
2021-01-03,301988,301975,300534,1441,9,9,0,4,3,1,0,300546,1442,22444,22439,5,300546,1442,0.00361377763273577,1.733866811205e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22442,22437,5,2,2,0,0,0,0,0,0,0,0,0,0,0,277831,277820,7,4,0
2021-01-04,347931,347917,346379,1538,10,10,0,4,3,1,0,346392,1539,45943,45846,97,346392,1539,0.00416503184789885,1.850500015565e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45942,45845,97,1,1,0,0,0,0,0,0,0,0,0,0,0,305743,305731,8,4,0
2021-01-05,400276,400261,398385,1876,11,11,0,4,3,1,0,398399,1877,52345,52007,338,398399,1877,0.00479036618389297,2.256912624571e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52344,52006,338,1,1,0,0,0,0,0,0,0,0,0,0,0,307884,307872,9,3,0
2021-01-06,462963,462939,460971,1968,17,17,0,7,5,2,0,460993,1970,62687,62594,93,460993,1970,0.00554299904922295,2.368736212256e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62678,62586,92,6,6,0,3,2,1,0,0,0,0,0,0,0,306744,306723,15,6,0
2021-01-07,517660,517629,515639,1990,21,21,0,9,7,2,1,515668,1992,54697,54675,22,515668,1993,0.00620041352843687,2.396391508135e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54690,54668,22,4,4,0,2,2,0,1,0,0,0,0,0,0,311611,311583,19,8,1
2021-01-08,580033,579950,577851,2099,72,72,0,10,8,2,1,577932,2101,62373,62264,109,577932,2102,0.00694907846001028,2.527453562519e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62321,62212,109,51,51,0,1,1,0,0,0,0,0,0,0,0,348549,348477,65,6,1
2021-01-09,640202,640115,637868,2247,75,75,0,11,8,3,1,637952,2250,60169,60020,149,637952,2251,0.00767076144203899,2.706611783649e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60165,60017,148,3,3,0,1,0,1,0,0,0,0,0,0,0,360658,360582,68,7,1
2021-01-10,675984,675888,673493,2395,84,82,2,11,8,3,1,673584,2400,35782,35632,150,673584,2401,0.00809920209541531,2.886972408948e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35773,35625,148,9,7,2,0,0,0,0,0,0,0,0,0,0,373996,373913,75,7,1
2021-01-11,743954,743842,741350,2492,98,90,8,13,10,3,1,741451,2503,67970,67867,103,741451,2504,0.00891523773255864,3.01082003832e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67954,67857,97,14,8,6,2,2,0,0,0,0,0,0,0,0,396023,395925,88,9,1
2021-01-12,822703,822575,820019,2556,113,105,8,14,10,4,1,820135,2568,78749,78684,65,820135,2569,0.00986133742862573,3.088976309283e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78733,78669,64,15,15,0,1,0,1,0,0,0,0,0,0,0,422427,422314,102,10,1
2021-01-13,934225,932924,930166,2758,1286,1278,8,14,10,4,1,931455,2770,111522,111320,202,931455,2771,0.01119985374917615,3.331861951352e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110349,110147,202,1173,1173,0,0,0,0,0,0,0,0,0,0,0,471262,469985,1269,7,1
2021-01-14,1018007,1011550,1008613,2937,6442,6390,52,14,10,4,1,1015014,2993,83782,83559,223,1015014,2994,0.01220457064846534,3.599998080962e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78626,78447,179,5156,5112,44,0,0,0,0,0,0,0,0,0,0,500347,493921,6421,5,0
2021-01-15,1109286,1097548,1093763,3785,11718,11666,52,19,15,4,1,1105445,3841,91279,90431,848,1105445,3842,0.01329191676222473,4.619636815985e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85998,85150,848,5276,5276,0,5,5,0,0,0,0,0,0,0,0,529253,517598,11646,9,0
2021-01-16,1166983,1153563,1148772,4791,13399,13347,52,20,16,4,1,1162136,4847,57697,56691,1006,1162136,4848,0.0139735717094788,5.829255409655e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56015,55009,1006,1681,1681,0,1,1,0,0,0,0,0,0,0,0,526781,513448,13324,9,0
2021-01-17,1214426,1199742,1178001,21741,14661,14609,52,21,17,4,2,1192629,21797,47443,30493,16950,1192629,21799,0.01434022081262778,2.6211208472582e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46179,29229,16950,1262,1262,0,1,1,0,1,0,0,0,0,0,0,538442,523854,14577,10,1
