date,cum_vacs,cum_vacs_pfizer,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,dosen_biontech_dritt_kumulativ,cum_vacs_moderna,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,dosen_moderna_dritt_kumulativ,cum_vacs_astrazeneca,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,dosen_astra_dritt_kumulativ,cum_vacs_jj,cum_vacs_first_dose_all,cum_vacs_second_dose_all,dosen_dritt_kumulativ,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,dosen_dritt_differenz_zum_vortag,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24352,24346,24337,9,0,6,6,0,0,0,0,0,0,0,24343,9,0,24352,24343,9,0,24343,9,2.9e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24346,24337,9,6,6,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-28,42452,42446,42372,74,0,6,6,0,0,0,0,0,0,0,42378,74,0,18100,18035,65,0,42378,74,5.1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18100,18035,65,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-29,93072,93065,92338,727,0,6,6,0,0,1,1,0,0,0,92345,727,0,50620,49967,653,0,92345,727,0.00111,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50619,49966,653,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-30,157120,157113,156354,759,0,6,6,0,0,1,1,0,0,0,156361,759,0,64048,64016,32,0,156361,759,0.00188,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64048,64016,32,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-31,207154,207147,206301,846,0,6,6,0,0,1,1,0,0,0,206308,846,0,50034,49947,87,0,206308,846,0.00248,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50034,49947,87,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2021-01-01,232691,232675,231824,851,0,12,12,0,0,4,3,1,0,0,231839,852,0,25537,25531,6,0,231839,852,0.00279,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25528,25523,5,6,6,0,3,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2021-01-02,280778,280762,279835,927,0,12,12,0,0,4,3,1,0,0,279850,928,0,48087,48011,76,0,279850,928,0.00337,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48087,48011,76,0,0,0,0,0,0,0,0,0,0,0,0,0,280778,280762,12,4,0
2021-01-03,303330,303312,302381,931,0,14,14,0,0,4,3,1,0,0,302398,932,0,22552,22548,4,0,302398,932,0.00364,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22550,22546,4,2,2,0,0,0,0,0,0,0,0,0,0,0,278978,278966,8,4,0
2021-01-04,349382,349363,348381,982,0,15,15,0,0,4,3,1,0,0,348399,983,0,46052,46001,51,0,348399,983,0.00419,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46051,46000,51,1,1,0,0,0,0,0,0,0,0,0,0,0,306930,306917,9,4,0
2021-01-05,402097,402077,401008,1069,0,16,16,0,0,4,3,1,0,0,401027,1070,0,52715,52628,87,0,401027,1070,0.00482,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52714,52627,87,1,1,0,0,0,0,0,0,0,0,0,0,0,309025,309012,10,3,0
