date,administered_doses_pfizer,administered_doses_moderna,administered_doses_astrazeneca,administered_doses_jj,einrichtung,delivered_doses_pfizer,delivered_doses_moderna,delivered_doses_astrazeneca,delivered_doses_jj,cum_administered_doses_pfizer,cum_administered_doses_moderna,cum_administered_doses_astrazeneca,cum_administered_doses_jj,cum_delivered_doses_pfizer,cum_delivered_doses_moderna,cum_delivered_doses_astrazeneca,cum_delivered_doses_jj
2020-12-26,0,0,0,0,impfzentren,151125,0,0,0,0,0,0,0,151125,0,0,0
2020-12-27,24346,6,0,0,NA,0,0,0,0,24346,6,0,0,151125,0,0,0
2020-12-28,18100,0,0,0,impfzentren,521625,0,0,0,42446,6,0,0,672750,0,0,0
2020-12-29,50619,0,1,0,NA,0,0,0,0,93065,6,1,0,672750,0,0,0
2020-12-30,64048,0,0,0,impfzentren,653250,0,0,0,157113,6,1,0,1326000,0,0,0
2020-12-31,50034,0,0,0,NA,0,0,0,0,207147,6,1,0,1326000,0,0,0
2021-01-01,25528,6,3,0,NA,0,0,0,0,232675,12,4,0,1326000,0,0,0
2021-01-02,48087,0,0,0,NA,0,0,0,0,280762,12,4,0,1326000,0,0,0
2021-01-03,22550,2,0,0,NA,0,0,0,0,303312,14,4,0,1326000,0,0,0
2021-01-04,46051,1,0,0,NA,0,0,0,0,349363,15,4,0,1326000,0,0,0
2021-01-05,52714,1,0,0,NA,0,0,0,0,402077,16,4,0,1326000,0,0,0
2021-01-06,63116,6,3,0,NA,0,0,0,0,465193,22,7,0,1326000,0,0,0
2021-01-07,54820,5,2,1,NA,0,0,0,0,520013,27,9,1,1326000,0,0,0
2021-01-08,62707,51,1,0,impfzentren,687375,0,0,0,582720,78,10,1,2013375,0,0,0
2021-01-09,60705,3,1,0,NA,0,0,0,0,643425,81,11,1,2013375,0,0,0
2021-01-10,36024,9,0,0,NA,0,0,0,0,679449,90,11,1,2013375,0,0,0
2021-01-11,68176,14,2,0,NA,0,0,0,0,747625,104,13,1,2013375,0,0,0
2021-01-12,78998,17,3,0,impfzentren,0,63600,0,0,826623,121,16,1,2013375,63600,0,0
2021-01-13,110805,1177,0,0,NA,0,0,0,0,937428,1298,16,1,2013375,63600,0,0
2021-01-14,78947,5158,0,0,NA,0,0,0,0,1016375,6456,16,1,2013375,63600,0,0
2021-01-15,86272,5277,19,0,NA,0,0,0,0,1102647,11733,35,1,2013375,63600,0,0
2021-01-16,56327,1682,1,0,NA,0,0,0,0,1158974,13415,36,1,2013375,63600,0,0
2021-01-17,46543,1262,1,1,NA,0,0,0,0,1205517,14677,37,2,2013375,63600,0,0
2021-01-18,78613,4256,1,0,NA,0,0,0,0,1284130,18933,38,2,2013375,63600,0,0
2021-01-19,115912,3765,51,0,impfzentren,842400,0,0,0,1400042,22698,89,2,2855775,63600,0,0
2021-01-20,129729,2839,4,0,NA,0,0,0,0,1529771,25537,93,2,2855775,63600,0,0
2021-01-21,102550,2817,2,0,NA,0,0,0,0,1632321,28354,95,2,2855775,63600,0,0
2021-01-22,99983,2191,13,0,NA,0,0,0,0,1732304,30545,108,2,2855775,63600,0,0
2021-01-23,86560,355,3,0,NA,0,0,0,0,1818864,30900,111,2,2855775,63600,0,0
2021-01-24,47574,199,4,0,NA,0,0,0,0,1866438,31099,115,2,2855775,63600,0,0
2021-01-25,89547,1451,3,0,NA,0,0,0,0,1955985,32550,118,2,2855775,63600,0,0
2021-01-26,96790,1440,7,0,impfzentren,489060,0,0,0,2052775,33990,125,2,3344835,63600,0,0
2021-01-27,107539,1791,8,1,NA,0,0,0,0,2160314,35781,133,3,3344835,63600,0,0
2021-01-28,90821,1629,3,0,NA,0,0,0,0,2251135,37410,136,3,3344835,63600,0,0
2021-01-29,105976,1481,71,0,NA,0,0,0,0,2357111,38891,207,3,3344835,63600,0,0
2021-01-30,87192,880,3,0,NA,0,0,0,0,2444303,39771,210,3,3344835,63600,0,0
2021-01-31,56754,378,5,0,impfzentren,0,90000,0,0,2501057,40149,215,3,3344835,153600,0,0
2021-02-01,117757,2212,55,0,NA,0,0,0,0,2618814,42361,270,3,3344835,153600,0,0
2021-02-02,129552,3127,21,0,impfzentren,747630,0,0,0,2748366,45488,291,3,4092465,153600,0,0
2021-02-03,156391,6397,26,0,NA,0,0,0,0,2904757,51885,317,3,4092465,153600,0,0
2021-02-04,128534,5897,8,0,NA,0,0,0,0,3033291,57782,325,3,4092465,153600,0,0
2021-02-05,140994,6468,8,0,NA,0,0,0,0,3174285,64250,333,3,4092465,153600,0,0
2021-02-06,91454,2634,1,0,impfzentren,0,0,345600,0,3265739,66884,334,3,4092465,153600,345600,0
2021-02-07,51192,2334,2,1,NA,0,0,0,0,3316931,69218,336,4,4092465,153600,345600,0
2021-02-08,105512,3834,30,1,NA,0,0,0,0,3422443,73052,366,5,4092465,153600,345600,0
2021-02-09,130851,3440,186,0,impfzentren,747630,0,0,0,3553294,76492,552,5,4840095,153600,345600,0
2021-02-10,142429,4289,8390,0,NA,0,0,0,0,3695723,80781,8942,5,4840095,153600,345600,0
2021-02-11,120574,7309,16388,2,NA,0,0,0,0,3816297,88090,25330,7,4840095,153600,345600,0
2021-02-12,132201,9373,14403,3,impfzentren,0,0,391200,0,3948498,97463,39733,10,4840095,153600,736800,0
2021-02-13,90878,3262,13414,1,NA,0,0,0,0,4039376,100725,53147,11,4840095,153600,736800,0
2021-02-14,55561,2481,7298,1,NA,0,0,0,0,4094937,103206,60445,12,4840095,153600,736800,0
2021-02-15,104838,5320,15546,1,impfzentren,0,182400,0,0,4199775,108526,75991,13,4840095,336000,736800,0
2021-02-16,108804,6215,19693,1,impfzentren,904410,0,0,0,4308579,114741,95684,14,5744505,336000,736800,0
2021-02-17,122650,8058,20964,1,NA,0,0,0,0,4431229,122799,116648,15,5744505,336000,736800,0
2021-02-18,112530,8288,23951,5,NA,0,0,0,0,4543759,131087,140599,20,5744505,336000,736800,0
2021-02-19,121341,10039,27581,1,impfzentren,0,0,715200,0,4665100,141126,168180,21,5744505,336000,1452000,0
2021-02-20,86508,4476,21353,1,NA,0,0,0,0,4751608,145602,189533,22,5744505,336000,1452000,0
2021-02-21,66490,3646,15781,1,NA,0,0,0,0,4818098,149248,205314,23,5744505,336000,1452000,0
2021-02-22,123502,9072,23752,1,NA,0,0,0,0,4941600,158320,229066,24,5744505,336000,1452000,0
2021-02-23,134235,7268,29085,1,impfzentren,926640,0,0,0,5075835,165588,258151,25,6671145,336000,1452000,0
2021-02-24,131971,7663,36937,1,NA,0,0,0,0,5207806,173251,295088,26,6671145,336000,1452000,0
2021-02-25,131890,6789,51105,0,NA,0,0,0,0,5339696,180040,346193,26,6671145,336000,1452000,0
2021-02-26,141837,8878,63066,0,NA,0,0,0,0,5481533,188918,409259,26,6671145,336000,1452000,0
2021-02-27,92674,4087,51164,1,impfzentren,0,342900,0,0,5574207,193005,460423,27,6671145,678900,1452000,0
2021-02-28,61502,3964,37805,2,NA,0,0,0,0,5635709,196969,498228,29,6671145,678900,1452000,0
2021-03-01,130706,9710,58557,0,NA,0,0,0,0,5766415,206679,556785,29,6671145,678900,1452000,0
2021-03-02,140640,10084,69041,0,impfzentren,1014390,0,650400,0,5907055,216763,625826,29,7685535,678900,2102400,0
2021-03-03,158376,15175,74731,0,NA,0,0,0,0,6065431,231938,700557,29,7685535,678900,2102400,0
2021-03-04,141765,14517,89342,0,NA,0,0,0,0,6207196,246455,789899,29,7685535,678900,2102400,0
2021-03-05,148439,13397,113538,1,NA,0,0,0,0,6355635,259852,903437,30,7685535,678900,2102400,0
2021-03-06,109421,8858,84521,0,NA,0,0,0,0,6465056,268710,987958,30,7685535,678900,2102400,0
2021-03-07,79850,6664,61305,0,NA,0,0,0,0,6544906,275374,1049263,30,7685535,678900,2102400,0
