date,cum_vacs,cum_vacs_pfizer,cum_vacs_pfizer_first_dose,cum_vacs_pfizer_second_dose,cum_vacs_pfizer_third_dose,cum_vacs_moderna,cum_vacs_moderna_first_dose,cum_vacs_moderna_second_dose,cum_vacs_moderna_third_dose,cum_vacs_astrazeneca,cum_vacs_astrazeneca_first_dose,cum_vacs_astrazeneca_second_dose,cum_vacs_astrazeneca_third_dose,cum_vacs_jj,cum_vacs_jj_first_dose,cum_vacs_jj_second_dose,cum_vacs_jj_third_dose,cum_vacs_first_dose_all,cum_vacs_second_dose_all,cum_vacs_third_dose_all,new_vacs_all,new_vacs_first_dose_all,new_vacs_second_dose_all,new_vacs_third_dose_all,dosen_vollstaendig_differenz_zum_vortag,dosen_erst_unvollstaendig_differenz_zum_vortag,cum_persons_vaccinated_first_dose,cum_persons_vaccinated_second_dose,personen_auffrisch_kumulativ,pct_pop_vaccinated_first_dose,pct_pop_vaccinated_second_dose,cum_vacs_vaccination_centres,cum_vacs_doctors_offices,cum_vacs_age_indication,cum_vacs_profession_indication,cum_vacs_medical_indication,cum_vacs_care_homes,cum_vacs_age_indication_first_dose,cum_vacs_profession_indication_first_dose,cum_vacs_medical_indication_first_dose,cum_vacs_care_homes_first_dose,cum_vacs_age_indication_second_dose,cum_vacs_profession_indication_second_dose,cum_vacs_medical_indication_second_dose,cum_vacs_care_homes_second_dose,new_vacs_pfizer,new_vacs_pfizer_first_dose,new_vacs_pfizer_second_dose,new_vacs_pfizer_third_dose,new_vacs_moderna,new_vacs_moderna_first_dose,new_vacs_moderna_second_dose,new_vacs_moderna_third_dose,new_vacs_astrazeneca,new_vacs_astrazeneca_first_dose,new_vacs_astrazeneca_second_dose,new_vacs_astrazeneca_third_dose,new_vacs_jj,new_vacs_age_indication,new_vacs_profession_indication,new_vacs_medical_indication,new_vacs_care_homes,new_vacs_vaccination_centres,new_vacs_doctors_offices,new_vacs_all_7day_rollsum,new_vacs_pfizer_7day_rollsum,new_vacs_moderna_7day_rollsum,new_vacs_astrazeneca_7day_rollsum,new_vacs_jj_7day_rollsum
2020-12-27,24368,24360,24349,11,0,7,7,0,0,1,1,0,0,0,0,0,0,24357,11,0,24368,24357,11,0,11,24357,24357,11,0,2.9e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24360,24349,11,0,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-28,42480,42471,42396,75,0,8,8,0,0,1,1,0,0,0,0,0,0,42405,75,0,18112,18048,64,0,64,18048,42405,75,0,5.1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18111,18047,64,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-29,93216,93206,92478,727,1,8,8,0,0,2,2,0,0,0,0,0,0,92488,727,1,50736,50083,652,1,652,50083,92488,727,1,0.00111,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50735,50082,652,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-30,157354,157344,156583,760,1,8,8,0,0,2,2,0,0,0,0,0,0,156593,760,1,64138,64105,33,0,33,64105,156593,760,1,0.00188,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64138,64105,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2020-12-31,207372,207361,206513,847,1,8,8,0,0,3,3,0,0,0,0,0,0,206524,847,1,50018,49931,87,0,87,49931,206524,847,1,0.00248,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50017,49930,87,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2021-01-01,232967,232934,232076,856,2,24,23,1,0,8,7,1,0,1,1,0,0,232107,858,2,25595,25583,11,1,12,25582,232107,859,2,0.00279,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25573,25563,9,1,16,15,1,0,5,4,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2021-01-02,281060,281026,280090,934,2,25,24,1,0,8,7,1,0,1,1,0,0,280122,936,2,48093,48015,78,0,78,48015,280122,937,2,0.00337,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48092,48014,78,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,281060,281026,25,8,0
2021-01-03,303626,303589,302648,939,2,28,27,1,0,8,7,1,0,1,1,0,0,302683,941,2,22566,22561,5,0,5,22561,302683,942,2,0.00364,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22563,22558,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,279258,279229,21,7,0
2021-01-04,349820,349755,348716,1037,2,39,37,2,0,8,7,1,0,18,18,0,0,348778,1040,2,46194,46095,99,0,116,46078,348778,1058,2,0.00419,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46166,46068,98,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,307340,307284,31,7,0
2021-01-05,402528,402462,401337,1123,2,40,38,2,0,8,7,1,0,18,18,0,0,401400,1126,2,52708,52622,86,0,86,52622,401400,1144,2,0.00483,1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52707,52621,86,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,309312,309256,32,6,0
